代码,信号数,平均收益,胜率,最大收益,最大亏损,盈亏比,平均盈亏比
000421.SZ_pro_bar,5,1.49%,60.00%,8.35%,-3.48%,1.045,0.314
000422.SZ_pro_bar,3,-2.97%,33.33%,0.22%,-5.33%,0.048,0.006
000423.SZ_pro_bar,0,None,None,None,None,,
000425.SZ_pro_bar,0,None,None,None,None,,
000426.SZ_pro_bar,2,5.42%,100.00%,10.14%,0.69%,1.054,0.301
000428.SZ_pro_bar,9,-2.06%,11.11%,4.27%,-6.89%,1.125,0.08
000429.SZ_pro_bar,0,None,None,None,None,,
000430.SZ_pro_bar,4,-1.59%,25.00%,0.16%,-5.00%,0.076,0.008
000488.SZ_pro_bar,2,0.43%,100.00%,0.61%,0.24%,1.004,0.287
000498.SZ_pro_bar,1,3.80%,100.00%,3.80%,0.00%,1.038,0.173
000501.SZ_pro_bar,1,-4.18%,0.00%,-4.18%,-4.18%,0.0,0.0
000503.SZ_pro_bar,0,None,None,None,None,,
000504.SZ_pro_bar,4,4.79%,50.00%,21.44%,-2.58%,5.238,1.164
000505.SZ_pro_bar,3,3.34%,66.67%,10.55%,-9.33%,1.037,0.259
000506.SZ_pro_bar,5,0.73%,60.00%,5.43%,-2.27%,1.425,0.428
000507.SZ_pro_bar,4,-1.42%,25.00%,2.63%,-4.50%,0.95,0.106
000509.SZ_pro_bar,5,3.26%,60.00%,8.79%,-2.98%,3.583,1.075
000510.SZ_pro_bar,4,0.47%,75.00%,6.48%,-6.00%,0.438,0.146
000513.SZ_pro_bar,0,None,None,None,None,,
000514.SZ_pro_bar,7,-0.31%,28.57%,1.96%,-2.64%,0.796,0.133
000516.SZ_pro_bar,2,-2.09%,0.00%,-0.53%,-3.65%,0.0,0.0
000517.SZ_pro_bar,3,1.90%,33.33%,8.22%,-1.98%,6.529,0.816
000518.SZ_pro_bar,4,-2.01%,25.00%,1.16%,-4.41%,0.378,0.042
000519.SZ_pro_bar,4,-0.96%,25.00%,0.12%,-2.79%,0.089,0.01
000520.SZ_pro_bar,5,-0.41%,40.00%,2.28%,-2.69%,0.885,0.177
000521.SZ_pro_bar,2,14.42%,50.00%,29.84%,-0.99%,30.233,4.319
000523.SZ_pro_bar,2,4.09%,100.00%,5.50%,2.68%,1.041,0.297
000524.SZ_pro_bar,5,-0.95%,40.00%,1.14%,-3.38%,0.321,0.064
000525.SZ_pro_bar,0,None,None,None,None,,
000526.SZ_pro_bar,0,None,None,None,None,,
000528.SZ_pro_bar,0,None,None,None,None,,
000529.SZ_pro_bar,2,-3.43%,0.00%,-2.46%,-4.39%,0.0,0.0
000530.SZ_pro_bar,4,-1.03%,25.00%,1.41%,-2.91%,0.51,0.057
000531.SZ_pro_bar,2,-2.01%,50.00%,0.41%,-4.44%,0.093,0.013
000532.SZ_pro_bar,7,0.39%,57.14%,4.80%,-4.81%,0.988,0.329
000533.SZ_pro_bar,6,-3.72%,16.67%,3.02%,-9.22%,0.596,0.054
000534.SZ_pro_bar,2,4.70%,50.00%,10.80%,-1.40%,7.74,1.106
000536.SZ_pro_bar,1,2.98%,100.00%,2.98%,0.00%,1.03,0.172
000537.SZ_pro_bar,0,None,None,None,None,,
000538.SZ_pro_bar,0,None,None,None,None,,
000539.SZ_pro_bar,4,-1.67%,0.00%,-0.56%,-2.86%,0.0,0.0
000541.SZ_pro_bar,4,-2.52%,25.00%,0.35%,-3.78%,0.1,0.011
000543.SZ_pro_bar,1,-5.19%,0.00%,-5.19%,-5.19%,0.0,0.0
000544.SZ_pro_bar,1,3.08%,100.00%,3.08%,0.00%,1.031,0.172
000545.SZ_pro_bar,2,3.41%,100.00%,3.79%,3.03%,1.034,0.295
000546.SZ_pro_bar,1,-1.50%,0.00%,-1.50%,-1.50%,0.0,0.0
000547.SZ_pro_bar,2,-0.87%,0.00%,-0.73%,-1.01%,0.0,0.0
000548.SZ_pro_bar,5,-0.82%,40.00%,0.53%,-3.01%,0.293,0.059
000550.SZ_pro_bar,2,-3.20%,0.00%,-1.32%,-5.08%,0.0,0.0
000551.SZ_pro_bar,2,10.47%,100.00%,18.66%,2.28%,1.105,0.316
000552.SZ_pro_bar,2,2.98%,100.00%,4.50%,1.45%,1.03,0.294
000553.SZ_pro_bar,2,0.64%,50.00%,2.41%,-1.14%,2.121,0.303
000554.SZ_pro_bar,5,0.47%,40.00%,5.37%,-1.98%,2.197,0.439
000555.SZ_pro_bar,1,-0.61%,0.00%,-0.61%,-0.61%,0.0,0.0
000557.SZ_pro_bar,2,-1.36%,0.00%,-0.54%,-2.19%,0.0,0.0
000558.SZ_pro_bar,8,-1.88%,12.50%,1.60%,-7.52%,0.577,0.044
000559.SZ_pro_bar,1,-0.91%,0.00%,-0.91%,-0.91%,0.0,0.0
000560.SZ_pro_bar,7,-1.71%,28.57%,1.53%,-5.36%,0.397,0.066
000561.SZ_pro_bar,2,-4.15%,0.00%,-2.04%,-6.25%,0.0,0.0
000563.SZ_pro_bar,2,-2.12%,0.00%,-1.97%,-2.28%,0.0,0.0
000564.SZ_pro_bar,3,6.86%,100.00%,17.46%,1.02%,1.069,0.401
000565.SZ_pro_bar,6,-0.50%,50.00%,4.00%,-5.27%,0.626,0.171
000566.SZ_pro_bar,2,2.78%,100.00%,5.37%,0.20%,1.028,0.294
000567.SZ_pro_bar,3,2.92%,33.33%,15.55%,-6.79%,2.289,0.286
000568.SZ_pro_bar,0,None,None,None,None,,
000570.SZ_pro_bar,10,-0.86%,40.00%,7.11%,-8.19%,0.895,0.239
000571.SZ_pro_bar,0,None,None,None,None,,
000572.SZ_pro_bar,2,3.52%,100.00%,5.38%,1.66%,1.035,0.296
000573.SZ_pro_bar,6,1.79%,66.67%,6.70%,-6.25%,1.138,0.414
000576.SZ_pro_bar,2,-0.56%,50.00%,0.48%,-1.60%,0.299,0.043
000581.SZ_pro_bar,2,-1.86%,50.00%,0.11%,-3.84%,0.03,0.004
000582.SZ_pro_bar,3,0.82%,66.67%,3.94%,-1.75%,1.199,0.3
000586.SZ_pro_bar,3,-2.16%,66.67%,5.05%,-11.97%,0.23,0.057
000589.SZ_pro_bar,2,-2.83%,0.00%,-1.25%,-4.42%,0.0,0.0
000590.SZ_pro_bar,2,0.35%,50.00%,0.95%,-0.25%,3.742,0.535
000591.SZ_pro_bar,2,-1.18%,0.00%,-1.10%,-1.27%,0.0,0.0
000592.SZ_pro_bar,2,6.99%,50.00%,16.67%,-2.69%,6.187,0.884
000593.SZ_pro_bar,5,0.34%,60.00%,4.22%,-3.02%,0.961,0.288
000595.SZ_pro_bar,6,-3.37%,16.67%,0.94%,-9.80%,0.222,0.02
000596.SZ_pro_bar,1,-2.92%,0.00%,-2.92%,-2.92%,0.0,0.0
000597.SZ_pro_bar,1,0.20%,100.00%,0.20%,0.00%,1.002,0.167
000598.SZ_pro_bar,2,-0.21%,50.00%,0.57%,-0.99%,0.583,0.083
000599.SZ_pro_bar,2,-2.69%,0.00%,-0.24%,-5.13%,0.0,0.0
000600.SZ_pro_bar,2,-2.47%,0.00%,-2.26%,-2.67%,0.0,0.0
000601.SZ_pro_bar,3,1.17%,66.67%,6.06%,-5.82%,0.802,0.2
000603.SZ_pro_bar,0,None,None,None,None,,
000605.SZ_pro_bar,4,0.07%,25.00%,5.31%,-2.03%,3.17,0.352
000607.SZ_pro_bar,6,-0.17%,33.33%,2.58%,-2.49%,1.561,0.284
000608.SZ_pro_bar,7,-0.03%,42.86%,2.65%,-2.48%,1.273,0.318
000609.SZ_pro_bar,5,-1.06%,40.00%,0.81%,-3.15%,0.307,0.061
000610.SZ_pro_bar,6,-2.70%,16.67%,1.05%,-6.77%,0.306,0.028
000612.SZ_pro_bar,1,-10.80%,0.00%,-10.80%,-10.80%,0.0,0.0
000615.SZ_pro_bar,5,1.03%,60.00%,4.13%,-0.51%,5.615,1.684
000617.SZ_pro_bar,1,-3.00%,0.00%,-3.00%,-3.00%,0.0,0.0
000619.SZ_pro_bar,4,-1.62%,25.00%,3.90%,-5.67%,1.127,0.125
000620.SZ_pro_bar,4,-0.98%,25.00%,0.62%,-4.18%,0.272,0.03
000622.SZ_pro_bar,4,2.33%,75.00%,7.36%,-0.75%,4.483,1.494
000623.SZ_pro_bar,0,None,None,None,None,,
000625.SZ_pro_bar,1,-1.06%,0.00%,-1.06%,-1.06%,0.0,0.0
000626.SZ_pro_bar,6,1.62%,66.67%,11.81%,-4.91%,1.175,0.427
000627.SZ_pro_bar,1,0.29%,100.00%,0.29%,0.00%,1.003,0.167
000628.SZ_pro_bar,3,0.63%,33.33%,5.99%,-2.74%,2.914,0.364
000629.SZ_pro_bar,3,-0.12%,66.67%,3.67%,-4.31%,0.459,0.115
000630.SZ_pro_bar,4,0.22%,50.00%,3.63%,-2.35%,1.269,0.282
000631.SZ_pro_bar,5,-0.16%,60.00%,8.46%,-10.49%,0.618,0.185
000632.SZ_pro_bar,5,-0.42%,40.00%,5.49%,-5.61%,0.74,0.148
000633.SZ_pro_bar,1,13.52%,100.00%,13.52%,0.00%,1.135,0.189
000635.SZ_pro_bar,5,-1.11%,40.00%,1.87%,-4.01%,0.411,0.082
000636.SZ_pro_bar,0,None,None,None,None,,
000637.SZ_pro_bar,6,-0.74%,50.00%,6.74%,-9.80%,0.752,0.205
000638.SZ_pro_bar,8,0.23%,62.50%,3.73%,-5.64%,0.505,0.194
000639.SZ_pro_bar,2,-1.60%,0.00%,-0.83%,-2.36%,0.0,0.0
000650.SZ_pro_bar,4,-0.76%,50.00%,3.11%,-3.54%,0.564,0.125
000651.SZ_pro_bar,0,None,None,None,None,,
000652.SZ_pro_bar,4,-3.02%,50.00%,0.92%,-8.98%,0.104,0.023
000655.SZ_pro_bar,4,0.66%,50.00%,2.15%,-0.59%,4.308,0.957
000656.SZ_pro_bar,0,None,None,None,None,,
000657.SZ_pro_bar,3,-1.16%,0.00%,-0.12%,-1.68%,0.0,0.0
000659.SZ_pro_bar,1,-3.19%,0.00%,-3.19%,-3.19%,0.0,0.0
000661.SZ_pro_bar,0,None,None,None,None,,
000663.SZ_pro_bar,2,0.24%,50.00%,0.49%,0.00%,1.005,0.144
000665.SZ_pro_bar,7,-1.07%,28.57%,1.42%,-3.62%,0.598,0.1
000668.SZ_pro_bar,0,None,None,None,None,,
000669.SZ_pro_bar,4,1.60%,50.00%,8.20%,-2.42%,2.642,0.587
000670.SZ_pro_bar,0,None,None,None,None,,
000672.SZ_pro_bar,2,0.05%,50.00%,0.61%,-0.51%,1.202,0.172
000676.SZ_pro_bar,3,-1.18%,33.33%,2.17%,-3.10%,0.758,0.095
000677.SZ_pro_bar,4,1.08%,75.00%,2.89%,-0.78%,2.174,0.725
000678.SZ_pro_bar,7,2.00%,42.86%,11.38%,-3.70%,3.462,0.865
000679.SZ_pro_bar,4,-2.92%,0.00%,-0.17%,-5.44%,0.0,0.0
000680.SZ_pro_bar,0,None,None,None,None,,
000681.SZ_pro_bar,5,-1.65%,20.00%,0.83%,-4.07%,0.364,0.036
000682.SZ_pro_bar,1,0.82%,100.00%,0.82%,0.00%,1.008,0.168
000683.SZ_pro_bar,2,0.22%,50.00%,1.42%,-0.99%,1.439,0.206
000685.SZ_pro_bar,2,-1.43%,0.00%,-1.19%,-1.66%,0.0,0.0
000686.SZ_pro_bar,3,-0.61%,33.33%,1.91%,-2.35%,1.024,0.128
000688.SZ_pro_bar,0,None,None,None,None,,
000690.SZ_pro_bar,2,-0.66%,0.00%,-0.48%,-0.85%,0.0,0.0
000691.SZ_pro_bar,5,-0.35%,40.00%,7.24%,-6.00%,1.231,0.246
000692.SZ_pro_bar,8,0.64%,75.00%,2.71%,-2.28%,0.95,0.438
000695.SZ_pro_bar,2,5.42%,50.00%,11.02%,-0.17%,63.563,9.08
000697.SZ_pro_bar,2,-1.56%,50.00%,0.10%,-3.23%,0.032,0.005
000698.SZ_pro_bar,4,-2.97%,0.00%,-1.02%,-6.24%,0.0,0.0
000700.SZ_pro_bar,8,-0.77%,25.00%,2.72%,-4.58%,0.937,0.144
000701.SZ_pro_bar,1,19.19%,100.00%,19.19%,0.00%,1.192,0.199
000702.SZ_pro_bar,2,3.30%,100.00%,3.80%,2.79%,1.033,0.295
000703.SZ_pro_bar,0,None,None,None,None,,
000705.SZ_pro_bar,6,-0.98%,50.00%,1.80%,-7.18%,0.42,0.115
000707.SZ_pro_bar,1,-3.09%,0.00%,-3.09%,-3.09%,0.0,0.0
000708.SZ_pro_bar,0,None,None,None,None,,
000709.SZ_pro_bar,0,None,None,None,None,,
000710.SZ_pro_bar,2,-0.85%,0.00%,-0.75%,-0.95%,0.0,0.0
000711.SZ_pro_bar,2,0.19%,50.00%,0.38%,0.00%,1.004,0.143
000712.SZ_pro_bar,5,-0.81%,40.00%,4.52%,-5.79%,0.883,0.177
000713.SZ_pro_bar,4,-0.54%,25.00%,5.96%,-4.46%,2.204,0.245
000715.SZ_pro_bar,5,1.95%,60.00%,6.20%,-2.65%,1.56,0.468
000716.SZ_pro_bar,2,-1.16%,50.00%,1.81%,-4.13%,0.439,0.063
000717.SZ_pro_bar,4,2.61%,50.00%,6.43%,-1.76%,3.454,0.768
000718.SZ_pro_bar,6,-0.64%,50.00%,2.35%,-4.62%,0.543,0.148
000719.SZ_pro_bar,4,-0.30%,25.00%,1.10%,-2.32%,0.476,0.053
000720.SZ_pro_bar,4,0.18%,50.00%,2.90%,-3.20%,1.193,0.265
000721.SZ_pro_bar,8,-1.46%,25.00%,5.14%,-8.71%,0.973,0.15
000722.SZ_pro_bar,2,21.60%,100.00%,40.60%,2.60%,1.216,0.347
000723.SZ_pro_bar,4,-0.74%,50.00%,2.13%,-4.56%,0.562,0.125
000725.SZ_pro_bar,0,None,None,None,None,,
000726.SZ_pro_bar,2,0.05%,50.00%,1.41%,-1.31%,1.075,0.154
000727.SZ_pro_bar,7,0.11%,57.14%,6.19%,-5.06%,0.806,0.269
000728.SZ_pro_bar,0,None,None,None,None,,
000729.SZ_pro_bar,3,-1.94%,0.00%,-1.33%,-2.35%,0.0,0.0
000731.SZ_pro_bar,1,-0.28%,0.00%,-0.28%,-0.28%,0.0,0.0
000733.SZ_pro_bar,1,-2.17%,0.00%,-2.17%,-2.17%,0.0,0.0
000735.SZ_pro_bar,0,None,None,None,None,,
000736.SZ_pro_bar,3,-4.94%,0.00%,-1.33%,-9.83%,0.0,0.0
000737.SZ_pro_bar,2,-2.35%,0.00%,-2.22%,-2.48%,0.0,0.0
000738.SZ_pro_bar,0,None,None,None,None,,
000739.SZ_pro_bar,0,None,None,None,None,,
000750.SZ_pro_bar,0,None,None,None,None,,
000751.SZ_pro_bar,3,-1.32%,66.67%,5.11%,-12.14%,0.337,0.084
000752.SZ_pro_bar,3,-3.50%,0.00%,-1.12%,-4.91%,0.0,0.0
000753.SZ_pro_bar,3,0.90%,66.67%,2.88%,-1.38%,1.474,0.368
000755.SZ_pro_bar,3,-3.12%,0.00%,0.00%,-8.60%,0.0,0.0
000756.SZ_pro_bar,4,-1.22%,25.00%,0.13%,-3.47%,0.053,0.006
000757.SZ_pro_bar,7,-0.16%,71.43%,4.05%,-9.47%,0.36,0.15
000758.SZ_pro_bar,1,-0.88%,0.00%,-0.88%,-0.88%,0.0,0.0
000759.SZ_pro_bar,4,-1.01%,25.00%,2.01%,-2.94%,0.998,0.111
000761.SZ_pro_bar,0,None,None,None,None,,
000762.SZ_pro_bar,0,None,None,None,None,,
000766.SZ_pro_bar,2,0.46%,50.00%,1.33%,-0.40%,3.311,0.473
000767.SZ_pro_bar,6,-0.03%,50.00%,2.92%,-3.07%,0.969,0.264
000768.SZ_pro_bar,0,None,None,None,None,,
000776.SZ_pro_bar,1,-0.34%,0.00%,-0.34%,-0.34%,0.0,0.0
000777.SZ_pro_bar,2,-4.86%,50.00%,1.51%,-11.23%,0.134,0.019
000778.SZ_pro_bar,2,-0.02%,50.00%,3.43%,-3.47%,0.988,0.141
000779.SZ_pro_bar,5,-0.81%,20.00%,8.00%,-5.82%,2.658,0.266
000782.SZ_pro_bar,7,2.49%,57.14%,15.69%,-1.19%,5.123,1.708
000783.SZ_pro_bar,3,-0.18%,66.67%,1.42%,-2.65%,0.4,0.1
000785.SZ_pro_bar,1,1.28%,100.00%,1.28%,0.00%,1.013,0.169
000786.SZ_pro_bar,0,None,None,None,None,,
000788.SZ_pro_bar,3,0.52%,100.00%,0.70%,0.15%,1.005,0.377
000789.SZ_pro_bar,0,None,None,None,None,,
000790.SZ_pro_bar,6,0.12%,33.33%,4.13%,-2.93%,2.257,0.41
000791.SZ_pro_bar,1,-5.59%,0.00%,-5.59%,-5.59%,0.0,0.0
000792.SZ_pro_bar,0,None,None,None,None,,
000793.SZ_pro_bar,3,-3.78%,0.00%,-0.81%,-8.89%,0.0,0.0
000795.SZ_pro_bar,2,-1.98%,50.00%,0.87%,-4.83%,0.18,0.026
000796.SZ_pro_bar,3,-2.56%,0.00%,-1.54%,-4.21%,0.0,0.0
000797.SZ_pro_bar,2,-1.66%,0.00%,-1.17%,-2.16%,0.0,0.0
000798.SZ_pro_bar,3,0.58%,66.67%,2.33%,-0.69%,1.777,0.444
000799.SZ_pro_bar,0,None,None,None,None,,
000800.SZ_pro_bar,3,-0.17%,66.67%,1.60%,-3.66%,0.432,0.108
000801.SZ_pro_bar,1,1.47%,100.00%,1.47%,0.00%,1.015,0.169
000802.SZ_pro_bar,5,1.58%,60.00%,9.62%,-2.58%,1.904,0.571
000803.SZ_pro_bar,5,-3.65%,40.00%,0.32%,-9.07%,0.039,0.008
000807.SZ_pro_bar,0,None,None,None,None,,
000809.SZ_pro_bar,4,-1.11%,25.00%,0.94%,-3.69%,0.35,0.039
000810.SZ_pro_bar,2,2.53%,100.00%,3.32%,1.75%,1.025,0.293
000811.SZ_pro_bar,3,2.65%,100.00%,6.61%,0.59%,1.026,0.385
000812.SZ_pro_bar,5,-0.06%,40.00%,2.25%,-2.95%,0.45,0.09
000813.SZ_pro_bar,5,-1.15%,20.00%,4.10%,-5.31%,1.662,0.166
000815.SZ_pro_bar,4,-0.44%,50.00%,3.93%,-5.81%,0.765,0.17
000816.SZ_pro_bar,1,0.90%,100.00%,0.90%,0.00%,1.009,0.168
000818.SZ_pro_bar,1,0.14%,100.00%,0.14%,0.00%,1.001,0.167
000819.SZ_pro_bar,3,-0.47%,66.67%,0.76%,-2.76%,0.243,0.061
000820.SZ_pro_bar,2,9.31%,100.00%,17.02%,1.61%,1.093,0.312
000821.SZ_pro_bar,2,-2.29%,50.00%,2.39%,-6.96%,0.343,0.049
000822.SZ_pro_bar,5,0.55%,60.00%,5.84%,-4.82%,0.99,0.297
000823.SZ_pro_bar,0,None,None,None,None,,
000825.SZ_pro_bar,2,-1.33%,0.00%,-1.00%,-1.65%,0.0,0.0
000826.SZ_pro_bar,1,-0.56%,0.00%,-0.56%,-0.56%,0.0,0.0
000828.SZ_pro_bar,3,0.28%,66.67%,1.87%,-1.49%,0.78,0.195
000829.SZ_pro_bar,4,1.79%,75.00%,4.29%,-0.71%,3.686,1.229
000830.SZ_pro_bar,0,None,None,None,None,,
000831.SZ_pro_bar,1,-1.07%,0.00%,-1.07%,-1.07%,0.0,0.0
000833.SZ_pro_bar,3,-0.43%,66.67%,1.32%,-3.68%,0.325,0.081
000837.SZ_pro_bar,4,-1.75%,50.00%,0.95%,-5.94%,0.177,0.039
000838.SZ_pro_bar,3,-0.55%,33.33%,3.92%,-3.79%,1.411,0.176
000839.SZ_pro_bar,4,0.47%,50.00%,6.67%,-5.14%,1.316,0.292
000848.SZ_pro_bar,2,-1.99%,50.00%,0.75%,-4.72%,0.159,0.023
000850.SZ_pro_bar,3,-1.38%,0.00%,-0.26%,-3.24%,0.0,0.0
000851.SZ_pro_bar,3,-0.40%,66.67%,3.83%,-5.50%,0.39,0.097
000852.SZ_pro_bar,6,1.45%,33.33%,17.19%,-9.87%,3.325,0.605
000856.SZ_pro_bar,2,-3.34%,50.00%,2.82%,-9.49%,0.297,0.042
000858.SZ_pro_bar,0,None,None,None,None,,
000859.SZ_pro_bar,0,None,None,None,None,,
000860.SZ_pro_bar,1,-3.77%,0.00%,-3.77%,-3.77%,0.0,0.0
000862.SZ_pro_bar,5,3.80%,80.00%,22.62%,-6.57%,0.973,0.389
000863.SZ_pro_bar,6,-1.98%,16.67%,1.25%,-7.46%,0.379,0.034
000868.SZ_pro_bar,2,-0.80%,0.00%,-0.21%,-1.38%,0.0,0.0
000869.SZ_pro_bar,3,-1.13%,0.00%,-0.89%,-1.42%,0.0,0.0
000875.SZ_pro_bar,3,2.14%,33.33%,10.18%,-3.08%,5.433,0.679
000876.SZ_pro_bar,1,-1.34%,0.00%,-1.34%,-1.34%,0.0,0.0
000877.SZ_pro_bar,2,1.24%,50.00%,2.65%,-0.18%,14.403,2.058
000878.SZ_pro_bar,2,-2.41%,0.00%,-2.13%,-2.69%,0.0,0.0
000880.SZ_pro_bar,3,-0.38%,33.33%,4.05%,-3.95%,1.562,0.195
000881.SZ_pro_bar,3,1.40%,66.67%,6.97%,-3.66%,1.073,0.268
000882.SZ_pro_bar,3,0.56%,66.67%,1.60%,-0.96%,1.369,0.342
000883.SZ_pro_bar,1,-2.16%,0.00%,-2.16%,-2.16%,0.0,0.0
000885.SZ_pro_bar,2,-1.42%,0.00%,-1.18%,-1.67%,0.0,0.0
000886.SZ_pro_bar,8,-0.41%,50.00%,2.83%,-5.77%,0.66,0.203
000887.SZ_pro_bar,0,None,None,None,None,,
