代码,信号数,平均收益,胜率,最大收益,最大亏损,盈亏比,平均盈亏比
002437.SZ_pro_bar,0,None,None,None,None,,
002438.SZ_pro_bar,1,-0.18%,0.00%,-0.18%,-0.18%,0.0,0.0
002439.SZ_pro_bar,1,-0.60%,0.00%,-0.60%,-0.60%,0.0,0.0
002440.SZ_pro_bar,0,None,None,None,None,,
002441.SZ_pro_bar,1,13.39%,100.00%,13.39%,0.00%,1.134,0.189
002442.SZ_pro_bar,4,4.46%,75.00%,15.68%,-0.38%,16.044,5.348
002443.SZ_pro_bar,5,-1.69%,40.00%,0.83%,-6.08%,0.204,0.041
002444.SZ_pro_bar,0,None,None,None,None,,
002445.SZ_pro_bar,4,-2.53%,0.00%,0.00%,-4.17%,0.0,0.0
002446.SZ_pro_bar,0,None,None,None,None,,
002448.SZ_pro_bar,7,-0.59%,28.57%,1.69%,-3.89%,0.954,0.159
002449.SZ_pro_bar,1,0.12%,100.00%,0.12%,0.00%,1.001,0.167
002451.SZ_pro_bar,4,-0.92%,50.00%,2.58%,-3.44%,0.454,0.101
002452.SZ_pro_bar,3,0.27%,33.33%,1.84%,-0.79%,3.601,0.45
002453.SZ_pro_bar,1,-8.98%,0.00%,-8.98%,-8.98%,0.0,0.0
002454.SZ_pro_bar,4,-2.99%,50.00%,1.29%,-8.59%,0.122,0.027
002455.SZ_pro_bar,3,-1.18%,33.33%,1.02%,-3.36%,0.446,0.056
002456.SZ_pro_bar,0,None,None,None,None,,
002457.SZ_pro_bar,0,None,None,None,None,,
002458.SZ_pro_bar,2,-0.48%,50.00%,2.81%,-3.76%,0.746,0.107
002459.SZ_pro_bar,0,None,None,None,None,,
002460.SZ_pro_bar,1,0.79%,100.00%,0.79%,0.00%,1.008,0.168
002461.SZ_pro_bar,2,-1.15%,0.00%,-0.10%,-2.20%,0.0,0.0
002462.SZ_pro_bar,3,3.84%,100.00%,7.52%,1.79%,1.038,0.389
002463.SZ_pro_bar,0,None,None,None,None,,
002465.SZ_pro_bar,2,-0.83%,50.00%,0.57%,-2.23%,0.257,0.037
002466.SZ_pro_bar,1,5.29%,100.00%,5.29%,0.00%,1.053,0.175
002467.SZ_pro_bar,4,4.17%,100.00%,6.90%,0.58%,1.042,0.463
002468.SZ_pro_bar,0,None,None,None,None,,
002469.SZ_pro_bar,3,-4.20%,0.00%,-0.41%,-7.89%,0.0,0.0
002470.SZ_pro_bar,3,0.44%,33.33%,2.25%,-0.92%,2.449,0.306
002471.SZ_pro_bar,9,-2.19%,22.22%,1.78%,-6.36%,0.393,0.056
002472.SZ_pro_bar,5,0.14%,40.00%,6.14%,-3.94%,1.642,0.328
002474.SZ_pro_bar,4,-1.94%,50.00%,4.97%,-13.27%,0.458,0.102
002475.SZ_pro_bar,0,None,None,None,None,,
002476.SZ_pro_bar,2,2.13%,100.00%,3.41%,0.86%,1.021,0.292
002478.SZ_pro_bar,4,0.02%,50.00%,1.35%,-1.72%,1.036,0.23
002479.SZ_pro_bar,2,0.54%,100.00%,0.85%,0.24%,1.005,0.287
002480.SZ_pro_bar,4,-1.44%,25.00%,1.63%,-3.69%,0.441,0.049
002481.SZ_pro_bar,2,-3.29%,0.00%,-0.63%,-5.95%,0.0,0.0
002482.SZ_pro_bar,4,2.93%,50.00%,12.77%,-1.23%,7.35,1.633
002483.SZ_pro_bar,2,-2.82%,0.00%,-0.60%,-5.04%,0.0,0.0
002484.SZ_pro_bar,0,None,None,None,None,,
002485.SZ_pro_bar,2,5.95%,100.00%,10.19%,1.72%,1.06,0.303
002486.SZ_pro_bar,7,6.26%,85.71%,36.50%,-7.89%,1.092,0.546
002487.SZ_pro_bar,2,4.69%,50.00%,15.37%,-5.99%,2.566,0.367
002488.SZ_pro_bar,3,2.08%,66.67%,4.52%,-1.49%,2.586,0.646
002489.SZ_pro_bar,3,-5.00%,0.00%,-1.11%,-12.74%,0.0,0.0
002490.SZ_pro_bar,3,-1.01%,0.00%,-0.26%,-2.13%,0.0,0.0
002491.SZ_pro_bar,2,-0.19%,50.00%,1.82%,-2.21%,0.824,0.118
002492.SZ_pro_bar,5,-1.67%,40.00%,2.57%,-5.44%,0.438,0.088
002493.SZ_pro_bar,2,-0.17%,50.00%,1.28%,-1.62%,0.788,0.113
002494.SZ_pro_bar,4,-1.32%,25.00%,0.56%,-2.87%,0.288,0.032
002495.SZ_pro_bar,8,1.27%,50.00%,9.92%,-1.75%,2.738,0.842
002496.SZ_pro_bar,5,2.85%,40.00%,14.65%,-1.90%,7.349,1.47
002497.SZ_pro_bar,3,2.94%,66.67%,9.60%,-1.43%,3.572,0.893
002498.SZ_pro_bar,5,-1.28%,20.00%,0.52%,-2.38%,0.299,0.03
002500.SZ_pro_bar,2,-2.17%,0.00%,-0.56%,-3.77%,0.0,0.0
002501.SZ_pro_bar,4,0.78%,50.00%,4.33%,-2.02%,1.275,0.283
002506.SZ_pro_bar,3,2.03%,66.67%,4.36%,-0.70%,4.867,1.217
002507.SZ_pro_bar,2,0.83%,50.00%,3.90%,-2.24%,1.739,0.248
002508.SZ_pro_bar,0,None,None,None,None,,
002510.SZ_pro_bar,2,0.27%,50.00%,1.77%,-1.22%,1.442,0.206
002511.SZ_pro_bar,0,None,None,None,None,,
002512.SZ_pro_bar,3,0.25%,66.67%,1.97%,-3.16%,0.619,0.155
002513.SZ_pro_bar,3,-2.66%,0.00%,-0.86%,-5.46%,0.0,0.0
002514.SZ_pro_bar,3,4.64%,100.00%,8.96%,1.55%,1.046,0.392
002515.SZ_pro_bar,1,0.86%,100.00%,0.86%,0.00%,1.009,0.168
002516.SZ_pro_bar,1,-0.43%,0.00%,-0.43%,-0.43%,0.0,0.0
002517.SZ_pro_bar,0,None,None,None,None,,
002518.SZ_pro_bar,0,None,None,None,None,,
002519.SZ_pro_bar,6,-1.94%,50.00%,2.31%,-9.97%,0.289,0.079
002520.SZ_pro_bar,4,-2.32%,25.00%,0.75%,-5.43%,0.224,0.025
002521.SZ_pro_bar,5,1.35%,80.00%,2.83%,0.00%,1.017,0.407
002522.SZ_pro_bar,2,2.71%,100.00%,4.48%,0.95%,1.027,0.293
002523.SZ_pro_bar,6,1.38%,16.67%,12.18%,-2.14%,9.304,0.846
002524.SZ_pro_bar,1,-5.85%,0.00%,-5.85%,-5.85%,0.0,0.0
002526.SZ_pro_bar,5,-0.86%,40.00%,1.89%,-5.17%,0.57,0.114
002527.SZ_pro_bar,5,0.80%,60.00%,4.11%,-5.14%,1.076,0.323
002528.SZ_pro_bar,3,-0.34%,33.33%,9.26%,-6.19%,1.803,0.225
002529.SZ_pro_bar,2,-0.32%,50.00%,3.38%,-4.03%,0.839,0.12
002530.SZ_pro_bar,3,0.03%,33.33%,2.02%,-1.32%,2.096,0.262
002531.SZ_pro_bar,0,None,None,None,None,,
002532.SZ_pro_bar,1,-8.39%,0.00%,-8.39%,-8.39%,0.0,0.0
002533.SZ_pro_bar,0,None,None,None,None,,
002534.SZ_pro_bar,3,-0.59%,66.67%,1.80%,-4.57%,0.306,0.077
002535.SZ_pro_bar,1,-1.89%,0.00%,-1.89%,-1.89%,0.0,0.0
002536.SZ_pro_bar,2,5.11%,50.00%,10.29%,-0.07%,144.221,20.603
002537.SZ_pro_bar,1,-9.32%,0.00%,-9.32%,-9.32%,0.0,0.0
002538.SZ_pro_bar,0,None,None,None,None,,
002539.SZ_pro_bar,1,4.76%,100.00%,4.76%,0.00%,1.048,0.175
002540.SZ_pro_bar,2,-2.29%,0.00%,-1.37%,-3.21%,0.0,0.0
002541.SZ_pro_bar,0,None,None,None,None,,
002542.SZ_pro_bar,4,-0.02%,75.00%,0.67%,-1.43%,0.314,0.105
002543.SZ_pro_bar,1,3.61%,100.00%,3.61%,0.00%,1.036,0.173
002544.SZ_pro_bar,2,2.27%,50.00%,4.54%,0.00%,1.045,0.149
002545.SZ_pro_bar,1,0.94%,100.00%,0.94%,0.00%,1.009,0.168
002546.SZ_pro_bar,1,0.00%,0.00%,0.00%,0.00%,1.0,0.0
002547.SZ_pro_bar,1,6.61%,100.00%,6.61%,0.00%,1.066,0.178
002548.SZ_pro_bar,1,-0.86%,0.00%,-0.86%,-0.86%,0.0,0.0
002549.SZ_pro_bar,3,-2.61%,0.00%,-1.79%,-3.75%,0.0,0.0
002550.SZ_pro_bar,2,1.26%,100.00%,2.00%,0.53%,1.013,0.289
002551.SZ_pro_bar,5,-0.40%,40.00%,1.64%,-1.98%,0.824,0.165
002552.SZ_pro_bar,4,3.35%,50.00%,15.34%,-2.99%,4.295,0.954
002553.SZ_pro_bar,6,-1.88%,33.33%,4.09%,-8.94%,0.683,0.124
002554.SZ_pro_bar,7,1.81%,71.43%,7.98%,-5.62%,1.196,0.498
002555.SZ_pro_bar,0,None,None,None,None,,
002556.SZ_pro_bar,2,6.79%,50.00%,16.38%,-2.80%,5.844,0.835
002557.SZ_pro_bar,4,-0.47%,25.00%,0.28%,-0.90%,0.391,0.043
002558.SZ_pro_bar,0,None,None,None,None,,
002559.SZ_pro_bar,5,-2.89%,20.00%,0.32%,-6.62%,0.087,0.009
002560.SZ_pro_bar,4,-3.35%,0.00%,-0.39%,-10.54%,0.0,0.0
002561.SZ_pro_bar,8,-0.38%,37.50%,7.01%,-6.18%,1.38,0.318
002562.SZ_pro_bar,0,None,None,None,None,,
002563.SZ_pro_bar,1,0.19%,100.00%,0.19%,0.00%,1.002,0.167
002564.SZ_pro_bar,3,2.23%,66.67%,7.18%,-1.79%,2.369,0.592
002565.SZ_pro_bar,3,-2.15%,66.67%,4.33%,-13.06%,0.253,0.063
002566.SZ_pro_bar,4,0.94%,75.00%,2.98%,-0.59%,2.464,0.821
002567.SZ_pro_bar,1,-0.56%,0.00%,-0.56%,-0.56%,0.0,0.0
002568.SZ_pro_bar,1,-3.04%,0.00%,-3.04%,-3.04%,0.0,0.0
002569.SZ_pro_bar,1,-2.34%,0.00%,-2.34%,-2.34%,0.0,0.0
002570.SZ_pro_bar,1,1.54%,100.00%,1.54%,0.00%,1.015,0.169
002571.SZ_pro_bar,7,0.34%,28.57%,11.13%,-4.23%,2.484,0.414
002572.SZ_pro_bar,0,None,None,None,None,,
002573.SZ_pro_bar,2,-0.58%,0.00%,0.00%,-1.16%,0.0,0.0
002574.SZ_pro_bar,1,-1.64%,0.00%,-1.64%,-1.64%,0.0,0.0
002575.SZ_pro_bar,2,-2.26%,0.00%,-1.47%,-3.06%,0.0,0.0
002576.SZ_pro_bar,4,-2.55%,0.00%,-0.10%,-8.55%,0.0,0.0
002577.SZ_pro_bar,3,-1.38%,33.33%,1.31%,-3.01%,0.482,0.06
002578.SZ_pro_bar,4,0.35%,75.00%,4.92%,-7.32%,0.398,0.133
002579.SZ_pro_bar,1,3.35%,100.00%,3.35%,0.00%,1.034,0.172
002580.SZ_pro_bar,1,-5.41%,0.00%,-5.41%,-5.41%,0.0,0.0
002581.SZ_pro_bar,1,-1.63%,0.00%,-1.63%,-1.63%,0.0,0.0
002582.SZ_pro_bar,7,0.42%,14.29%,18.04%,-6.26%,7.162,0.597
002583.SZ_pro_bar,3,0.83%,66.67%,3.10%,-3.48%,0.856,0.214
002584.SZ_pro_bar,2,1.62%,50.00%,5.64%,-2.40%,2.354,0.336
002585.SZ_pro_bar,0,None,None,None,None,,
002586.SZ_pro_bar,2,-2.72%,0.00%,-1.76%,-3.67%,0.0,0.0
002587.SZ_pro_bar,5,-3.01%,40.00%,1.11%,-11.16%,0.166,0.033
002588.SZ_pro_bar,1,0.28%,100.00%,0.28%,0.00%,1.003,0.167
002589.SZ_pro_bar,4,-3.54%,25.00%,0.67%,-5.39%,0.135,0.015
002590.SZ_pro_bar,8,0.82%,50.00%,5.32%,-3.34%,1.333,0.41
002591.SZ_pro_bar,6,-0.77%,50.00%,4.19%,-5.85%,0.542,0.148
002592.SZ_pro_bar,3,2.09%,66.67%,4.21%,-0.39%,8.557,2.139
002593.SZ_pro_bar,7,0.37%,57.14%,3.95%,-1.86%,1.149,0.383
002594.SZ_pro_bar,0,None,None,None,None,,
002595.SZ_pro_bar,0,None,None,None,None,,
002596.SZ_pro_bar,2,-2.07%,0.00%,-1.57%,-2.57%,0.0,0.0
002597.SZ_pro_bar,2,-0.99%,0.00%,0.00%,-1.97%,0.0,0.0
002598.SZ_pro_bar,5,0.18%,40.00%,4.20%,-2.92%,1.808,0.362
002599.SZ_pro_bar,2,2.68%,50.00%,6.20%,-0.84%,7.367,1.052
002600.SZ_pro_bar,1,3.86%,100.00%,3.86%,0.00%,1.039,0.173
002601.SZ_pro_bar,1,0.63%,100.00%,0.63%,0.00%,1.006,0.168
002602.SZ_pro_bar,1,0.22%,100.00%,0.22%,0.00%,1.002,0.167
002603.SZ_pro_bar,2,0.18%,50.00%,3.44%,-3.08%,1.119,0.16
002605.SZ_pro_bar,3,-0.32%,33.33%,1.16%,-1.56%,1.09,0.136
002606.SZ_pro_bar,1,-6.43%,0.00%,-6.43%,-6.43%,0.0,0.0
002607.SZ_pro_bar,1,2.40%,100.00%,2.40%,0.00%,1.024,0.171
002608.SZ_pro_bar,2,-1.28%,0.00%,-0.79%,-1.77%,0.0,0.0
002609.SZ_pro_bar,5,4.83%,80.00%,15.10%,-3.29%,2.085,0.834
002611.SZ_pro_bar,2,9.31%,100.00%,12.74%,5.88%,1.093,0.312
002612.SZ_pro_bar,5,-2.03%,20.00%,2.76%,-4.02%,0.855,0.085
002613.SZ_pro_bar,5,-1.86%,20.00%,3.33%,-5.41%,1.052,0.105
002614.SZ_pro_bar,0,None,None,None,None,,
002615.SZ_pro_bar,4,-2.01%,25.00%,2.64%,-4.81%,0.743,0.083
002616.SZ_pro_bar,2,1.07%,100.00%,1.83%,0.31%,1.011,0.289
002617.SZ_pro_bar,3,2.21%,33.33%,8.09%,-1.46%,5.539,0.692
002620.SZ_pro_bar,1,5.06%,100.00%,5.06%,0.00%,1.051,0.175
002622.SZ_pro_bar,2,-2.50%,0.00%,0.00%,-5.00%,0.0,0.0
002623.SZ_pro_bar,0,None,None,None,None,,
002624.SZ_pro_bar,0,None,None,None,None,,
002625.SZ_pro_bar,0,None,None,None,None,,
002626.SZ_pro_bar,2,-3.38%,50.00%,1.69%,-8.46%,0.2,0.029
002627.SZ_pro_bar,1,-1.46%,0.00%,-1.46%,-1.46%,0.0,0.0
002628.SZ_pro_bar,3,-1.57%,33.33%,0.83%,-4.55%,0.301,0.038
002629.SZ_pro_bar,2,-1.62%,50.00%,1.68%,-4.93%,0.341,0.049
002630.SZ_pro_bar,2,-1.42%,50.00%,0.75%,-3.60%,0.21,0.03
002631.SZ_pro_bar,5,-1.92%,40.00%,2.28%,-9.13%,0.42,0.084
002632.SZ_pro_bar,6,-0.64%,33.33%,4.29%,-4.55%,1.312,0.238
002633.SZ_pro_bar,7,-1.08%,14.29%,1.80%,-3.59%,1.155,0.096
002634.SZ_pro_bar,2,0.82%,50.00%,1.95%,-0.31%,6.328,0.904
002635.SZ_pro_bar,2,-0.86%,50.00%,0.16%,-1.88%,0.087,0.012
002636.SZ_pro_bar,4,0.09%,75.00%,2.94%,-4.42%,0.361,0.12
002637.SZ_pro_bar,0,None,None,None,None,,
002638.SZ_pro_bar,5,-0.07%,60.00%,2.59%,-4.55%,0.62,0.186
002639.SZ_pro_bar,4,-1.90%,50.00%,1.08%,-6.77%,0.159,0.035
002640.SZ_pro_bar,4,-1.55%,25.00%,3.40%,-5.14%,0.709,0.079
002641.SZ_pro_bar,4,-0.35%,25.00%,1.88%,-2.09%,1.72,0.191
002642.SZ_pro_bar,1,4.76%,100.00%,4.76%,0.00%,1.048,0.175
002643.SZ_pro_bar,1,-1.92%,0.00%,-1.92%,-1.92%,0.0,0.0
002644.SZ_pro_bar,3,2.39%,66.67%,5.35%,-1.78%,2.519,0.63
002645.SZ_pro_bar,1,-1.52%,0.00%,-1.52%,-1.52%,0.0,0.0
002646.SZ_pro_bar,2,-2.61%,50.00%,0.07%,-5.29%,0.013,0.002
002647.SZ_pro_bar,2,0.88%,50.00%,2.51%,-0.74%,3.368,0.481
002648.SZ_pro_bar,3,-3.06%,33.33%,0.69%,-8.73%,0.14,0.017
002649.SZ_pro_bar,1,0.32%,100.00%,0.32%,0.00%,1.003,0.167
002650.SZ_pro_bar,2,-2.87%,0.00%,-2.17%,-3.56%,0.0,0.0
002651.SZ_pro_bar,1,-0.25%,0.00%,-0.25%,-0.25%,0.0,0.0
002652.SZ_pro_bar,9,-1.86%,22.22%,2.75%,-4.62%,0.583,0.083
002653.SZ_pro_bar,0,None,None,None,None,,
002654.SZ_pro_bar,1,1.61%,100.00%,1.61%,0.00%,1.016,0.169
002655.SZ_pro_bar,1,18.62%,100.00%,18.62%,0.00%,1.186,0.198
002656.SZ_pro_bar,2,-0.61%,50.00%,0.48%,-1.70%,0.281,0.04
002657.SZ_pro_bar,3,-1.90%,33.33%,2.63%,-6.68%,0.631,0.079
002658.SZ_pro_bar,4,1.21%,75.00%,2.90%,-1.95%,1.161,0.387
002659.SZ_pro_bar,4,-2.24%,25.00%,1.76%,-7.21%,0.492,0.055
002660.SZ_pro_bar,6,-0.48%,33.33%,2.07%,-3.11%,1.12,0.204
002661.SZ_pro_bar,1,-0.50%,0.00%,-0.50%,-0.50%,0.0,0.0
002662.SZ_pro_bar,3,-1.42%,33.33%,0.30%,-3.21%,0.132,0.017
002663.SZ_pro_bar,7,-1.87%,28.57%,4.44%,-8.62%,0.737,0.123
002664.SZ_pro_bar,1,1.99%,100.00%,1.99%,0.00%,1.02,0.17
002666.SZ_pro_bar,4,-0.96%,50.00%,1.86%,-5.30%,0.454,0.101
002667.SZ_pro_bar,2,-2.04%,0.00%,-1.79%,-2.29%,0.0,0.0
002668.SZ_pro_bar,1,-1.85%,0.00%,-1.85%,-1.85%,0.0,0.0
002669.SZ_pro_bar,2,-1.67%,50.00%,1.12%,-4.46%,0.25,0.036
002670.SZ_pro_bar,4,2.11%,75.00%,6.88%,0.00%,1.028,0.343
002671.SZ_pro_bar,5,-1.70%,40.00%,0.65%,-4.67%,0.197,0.039
002672.SZ_pro_bar,1,0.00%,0.00%,0.00%,0.00%,1.0,0.0
002673.SZ_pro_bar,0,None,None,None,None,,
002674.SZ_pro_bar,2,1.91%,50.00%,7.03%,-3.20%,2.193,0.313
002675.SZ_pro_bar,0,None,None,None,None,,
002676.SZ_pro_bar,3,0.43%,66.67%,2.74%,-2.73%,0.737,0.184
002677.SZ_pro_bar,1,0.95%,100.00%,0.95%,0.00%,1.01,0.168
002678.SZ_pro_bar,2,-2.23%,0.00%,-0.23%,-4.24%,0.0,0.0
002679.SZ_pro_bar,1,1.49%,100.00%,1.49%,0.00%,1.015,0.169
002681.SZ_pro_bar,3,4.05%,66.67%,13.66%,-3.51%,2.231,0.558
002682.SZ_pro_bar,6,-2.36%,16.67%,1.34%,-6.40%,0.432,0.039
002683.SZ_pro_bar,0,None,None,None,None,,
002685.SZ_pro_bar,1,-0.99%,0.00%,-0.99%,-0.99%,0.0,0.0
002686.SZ_pro_bar,7,-0.65%,42.86%,4.93%,-5.19%,0.9,0.225
002687.SZ_pro_bar,3,-1.45%,33.33%,0.58%,-2.98%,0.237,0.03
002688.SZ_pro_bar,1,-1.29%,0.00%,-1.29%,-1.29%,0.0,0.0
002689.SZ_pro_bar,1,-3.06%,0.00%,-3.06%,-3.06%,0.0,0.0
002690.SZ_pro_bar,2,-2.46%,0.00%,-2.18%,-2.74%,0.0,0.0
002691.SZ_pro_bar,10,-1.92%,40.00%,1.55%,-5.29%,0.254,0.068
002692.SZ_pro_bar,6,1.58%,100.00%,4.99%,0.65%,1.016,0.554
002693.SZ_pro_bar,7,-1.79%,28.57%,3.75%,-9.38%,0.621,0.103
002694.SZ_pro_bar,3,-1.68%,33.33%,6.41%,-6.76%,1.119,0.14
002695.SZ_pro_bar,0,None,None,None,None,,
002696.SZ_pro_bar,4,-0.85%,25.00%,4.19%,-4.95%,1.104,0.123
002697.SZ_pro_bar,5,-0.37%,40.00%,2.80%,-3.93%,1.051,0.21
002698.SZ_pro_bar,0,None,None,None,None,,
002700.SZ_pro_bar,0,None,None,None,None,,
002701.SZ_pro_bar,0,None,None,None,None,,
002702.SZ_pro_bar,5,-1.21%,40.00%,1.10%,-4.87%,0.398,0.08
002703.SZ_pro_bar,3,0.56%,66.67%,3.80%,-4.02%,0.71,0.177
002705.SZ_pro_bar,0,None,None,None,None,,
002706.SZ_pro_bar,0,None,None,None,None,,
002707.SZ_pro_bar,2,-1.98%,0.00%,-0.16%,-3.80%,0.0,0.0
002708.SZ_pro_bar,3,-0.33%,33.33%,2.25%,-2.22%,1.393,0.174
002709.SZ_pro_bar,0,None,None,None,None,,
002712.SZ_pro_bar,1,1.89%,100.00%,1.89%,0.00%,1.019,0.17
002713.SZ_pro_bar,6,-1.61%,16.67%,0.61%,-4.23%,0.295,0.027
002714.SZ_pro_bar,0,None,None,None,None,,
002715.SZ_pro_bar,4,3.24%,50.00%,13.48%,-3.74%,3.338,0.742
002716.SZ_pro_bar,1,-0.35%,0.00%,-0.35%,-0.35%,0.0,0.0
002717.SZ_pro_bar,8,1.34%,37.50%,10.43%,-2.46%,4.75,1.096
002718.SZ_pro_bar,4,0.86%,50.00%,8.21%,-4.73%,1.541,0.342
002719.SZ_pro_bar,7,0.88%,42.86%,6.00%,-3.28%,2.389,0.597
002721.SZ_pro_bar,1,-1.41%,0.00%,-1.41%,-1.41%,0.0,0.0
002722.SZ_pro_bar,9,-0.15%,55.56%,2.84%,-3.36%,0.638,0.228
002723.SZ_pro_bar,2,-1.19%,50.00%,0.62%,-2.99%,0.206,0.029
002724.SZ_pro_bar,4,-2.36%,25.00%,0.49%,-6.98%,0.148,0.016
002725.SZ_pro_bar,5,-0.80%,40.00%,3.70%,-4.36%,0.83,0.166
002726.SZ_pro_bar,3,-0.19%,33.33%,0.30%,-0.85%,0.348,0.043
002727.SZ_pro_bar,0,None,None,None,None,,
002728.SZ_pro_bar,1,-1.41%,0.00%,-1.41%,-1.41%,0.0,0.0
002729.SZ_pro_bar,2,1.52%,50.00%,4.14%,-1.10%,3.76,0.537
002730.SZ_pro_bar,0,None,None,None,None,,
002731.SZ_pro_bar,3,-0.39%,33.33%,1.60%,-1.77%,1.154,0.144
002732.SZ_pro_bar,4,-0.27%,25.00%,2.23%,-1.44%,2.022,0.225
002733.SZ_pro_bar,2,-2.73%,0.00%,-0.86%,-4.60%,0.0,0.0
002734.SZ_pro_bar,1,-1.83%,0.00%,-1.83%,-1.83%,0.0,0.0
002735.SZ_pro_bar,1,1.16%,100.00%,1.16%,0.00%,1.012,0.169
002736.SZ_pro_bar,0,None,None,None,None,,
002737.SZ_pro_bar,1,-4.00%,0.00%,-4.00%,-4.00%,0.0,0.0
002738.SZ_pro_bar,1,5.04%,100.00%,5.04%,0.00%,1.05,0.175
002739.SZ_pro_bar,2,-2.35%,0.00%,-1.38%,-3.33%,0.0,0.0
002741.SZ_pro_bar,3,3.93%,100.00%,7.68%,1.37%,1.039,0.39
002742.SZ_pro_bar,1,2.55%,100.00%,2.55%,0.00%,1.025,0.171
002743.SZ_pro_bar,2,3.51%,100.00%,6.66%,0.36%,1.035,0.296
002745.SZ_pro_bar,0,None,None,None,None,,
002746.SZ_pro_bar,1,0.00%,0.00%,0.00%,0.00%,1.0,0.0
002747.SZ_pro_bar,0,None,None,None,None,,
002748.SZ_pro_bar,4,-1.91%,25.00%,0.17%,-3.89%,0.064,0.007
002749.SZ_pro_bar,1,3.01%,100.00%,3.01%,0.00%,1.03,0.172
002752.SZ_pro_bar,5,-1.53%,40.00%,5.56%,-5.10%,0.699,0.14
002753.SZ_pro_bar,0,None,None,None,None,,
002755.SZ_pro_bar,0,None,None,None,None,,
002756.SZ_pro_bar,0,None,None,None,None,,
002757.SZ_pro_bar,4,7.99%,75.00%,23.90%,-0.79%,13.771,4.59
002758.SZ_pro_bar,5,-0.63%,0.00%,-0.12%,-1.24%,0.0,0.0
002759.SZ_pro_bar,3,-6.72%,0.00%,-0.20%,-10.09%,0.0,0.0
002760.SZ_pro_bar,4,0.44%,50.00%,2.37%,-0.85%,2.125,0.472
002761.SZ_pro_bar,3,1.02%,66.67%,3.88%,-3.70%,0.913,0.228
002762.SZ_pro_bar,4,-4.82%,25.00%,1.83%,-13.65%,0.26,0.029
002763.SZ_pro_bar,5,-1.60%,20.00%,2.48%,-6.60%,0.946,0.095
002765.SZ_pro_bar,2,-2.39%,0.00%,-2.10%,-2.68%,0.0,0.0
002766.SZ_pro_bar,3,-1.42%,33.33%,1.10%,-3.91%,0.408,0.051
002767.SZ_pro_bar,2,2.09%,50.00%,4.80%,-0.61%,7.893,1.128
002768.SZ_pro_bar,2,-1.72%,0.00%,-1.47%,-1.98%,0.0,0.0
002769.SZ_pro_bar,6,-1.14%,33.33%,2.48%,-5.42%,0.755,0.137
002771.SZ_pro_bar,1,-1.02%,0.00%,-1.02%,-1.02%,0.0,0.0
002772.SZ_pro_bar,3,-0.30%,33.33%,0.77%,-0.87%,0.93,0.116
002773.SZ_pro_bar,0,None,None,None,None,,
002774.SZ_pro_bar,2,2.80%,50.00%,7.00%,-1.40%,5.009,0.716
002775.SZ_pro_bar,6,-2.89%,33.33%,2.64%,-8.82%,0.362,0.066
002777.SZ_pro_bar,0,None,None,None,None,,
002778.SZ_pro_bar,3,-3.52%,33.33%,0.80%,-7.86%,0.141,0.018
002779.SZ_pro_bar,1,6.47%,100.00%,6.47%,0.00%,1.065,0.177
002780.SZ_pro_bar,5,0.69%,20.00%,9.88%,-3.56%,6.135,0.613
002782.SZ_pro_bar,1,-4.52%,0.00%,-4.52%,-4.52%,0.0,0.0
002783.SZ_pro_bar,8,0.63%,37.50%,4.82%,-2.16%,3.261,0.753
002785.SZ_pro_bar,1,-1.40%,0.00%,-1.40%,-1.40%,0.0,0.0
002786.SZ_pro_bar,4,-0.97%,25.00%,5.46%,-3.45%,1.757,0.195
002787.SZ_pro_bar,1,-3.71%,0.00%,-3.71%,-3.71%,0.0,0.0
002788.SZ_pro_bar,1,0.38%,100.00%,0.38%,0.00%,1.004,0.167
002789.SZ_pro_bar,6,-0.63%,33.33%,1.35%,-3.35%,0.553,0.1
002790.SZ_pro_bar,5,-1.04%,0.00%,-0.19%,-2.91%,0.0,0.0
002791.SZ_pro_bar,0,None,None,None,None,,
002792.SZ_pro_bar,4,-1.22%,25.00%,9.00%,-9.38%,1.945,0.216
002793.SZ_pro_bar,1,-3.96%,0.00%,-3.96%,-3.96%,0.0,0.0
002795.SZ_pro_bar,3,-0.95%,33.33%,0.80%,-1.85%,0.439,0.055
002796.SZ_pro_bar,4,0.42%,50.00%,1.66%,-0.38%,3.842,0.854
002797.SZ_pro_bar,1,-0.52%,0.00%,-0.52%,-0.52%,0.0,0.0
002798.SZ_pro_bar,1,-3.07%,0.00%,-3.07%,-3.07%,0.0,0.0
002799.SZ_pro_bar,3,-2.73%,0.00%,0.00%,-6.74%,0.0,0.0
002800.SZ_pro_bar,3,-0.05%,33.33%,5.49%,-3.64%,1.947,0.243
002801.SZ_pro_bar,3,-0.10%,66.67%,0.31%,-0.71%,0.297,0.074
002802.SZ_pro_bar,2,-1.63%,0.00%,-0.09%,-3.16%,0.0,0.0
002803.SZ_pro_bar,2,2.84%,50.00%,10.14%,-4.46%,2.276,0.325
002805.SZ_pro_bar,3,-1.83%,33.33%,3.78%,-8.05%,0.815,0.102
002806.SZ_pro_bar,4,-5.44%,25.00%,0.08%,-15.98%,0.011,0.001
002807.SZ_pro_bar,1,-0.84%,0.00%,-0.84%,-0.84%,0.0,0.0
002808.SZ_pro_bar,5,1.40%,80.00%,4.30%,-1.94%,1.151,0.46
002809.SZ_pro_bar,3,-3.02%,0.00%,-0.91%,-4.24%,0.0,0.0
