filename,信号数,平均收益,胜率,最大收益,最大亏损,盈亏比,平均盈亏比
000001.SZ_pro_bar.csv,4,1.28%,50.00%,6.48%,-3.40%,2.258,1.129
000002.SZ_pro_bar.csv,2,-3.76%,0.00%,-2.55%,-4.98%,0.0,0.0
000004.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000006.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000007.SZ_pro_bar.csv,1,0.98%,100.00%,0.98%,0.98%,0.01,0.01
000008.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000009.SZ_pro_bar.csv,2,-2.29%,50.00%,2.85%,-7.43%,0.384,0.192
000010.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000011.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000012.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000014.SZ_pro_bar.csv,1,0.76%,100.00%,0.76%,0.76%,0.008,0.008
000016.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000017.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000019.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000020.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000021.SZ_pro_bar.csv,2,5.43%,50.00%,11.93%,-1.08%,11.093,5.547
000025.SZ_pro_bar.csv,1,-9.92%,0.00%,-9.92%,-9.92%,0.0,0.0
000026.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000027.SZ_pro_bar.csv,1,-0.20%,0.00%,-0.20%,-0.20%,0.0,0.0
000028.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000029.SZ_pro_bar.csv,2,2.86%,100.00%,5.43%,0.28%,0.029,0.029
000030.SZ_pro_bar.csv,1,2.65%,100.00%,2.65%,2.65%,0.026,0.026
000031.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000032.SZ_pro_bar.csv,1,-4.99%,0.00%,-4.99%,-4.99%,0.0,0.0
000034.SZ_pro_bar.csv,1,-0.62%,0.00%,-0.62%,-0.62%,0.0,0.0
000035.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000036.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000037.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000039.SZ_pro_bar.csv,1,0.12%,100.00%,0.12%,0.12%,0.001,0.001
000042.SZ_pro_bar.csv,1,-4.08%,0.00%,-4.08%,-4.08%,0.0,0.0
000045.SZ_pro_bar.csv,1,1.86%,100.00%,1.86%,1.86%,0.019,0.019
000048.SZ_pro_bar.csv,1,-19.66%,0.00%,-19.66%,-19.66%,0.0,0.0
000049.SZ_pro_bar.csv,1,1.47%,100.00%,1.47%,1.47%,0.015,0.015
000050.SZ_pro_bar.csv,2,3.28%,100.00%,3.75%,2.80%,0.033,0.033
000055.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000056.SZ_pro_bar.csv,1,-0.84%,0.00%,-0.84%,-0.84%,0.0,0.0
000058.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000059.SZ_pro_bar.csv,1,0.00%,0.00%,0.00%,0.00%,0.0,0.0
000060.SZ_pro_bar.csv,1,-0.24%,0.00%,-0.24%,-0.24%,0.0,0.0
000061.SZ_pro_bar.csv,1,-1.32%,0.00%,-1.32%,-1.32%,0.0,0.0
000062.SZ_pro_bar.csv,1,-0.87%,0.00%,-0.87%,-0.87%,0.0,0.0
000063.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000065.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000066.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000068.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000069.SZ_pro_bar.csv,1,-2.23%,0.00%,-2.23%,-2.23%,0.0,0.0
000070.SZ_pro_bar.csv,3,5.91%,100.00%,8.09%,3.12%,0.059,0.059
000078.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000088.SZ_pro_bar.csv,1,0.00%,0.00%,0.00%,0.00%,0.0,0.0
000089.SZ_pro_bar.csv,1,5.46%,100.00%,5.46%,5.46%,0.055,0.055
000090.SZ_pro_bar.csv,2,-2.13%,50.00%,1.56%,-5.82%,0.268,0.134
000096.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000099.SZ_pro_bar.csv,1,-2.77%,0.00%,-2.77%,-2.77%,0.0,0.0
000100.SZ_pro_bar.csv,1,-4.21%,0.00%,-4.21%,-4.21%,0.0,0.0
000151.SZ_pro_bar.csv,1,-0.31%,0.00%,-0.31%,-0.31%,0.0,0.0
000153.SZ_pro_bar.csv,1,2.58%,100.00%,2.58%,2.58%,0.026,0.026
000155.SZ_pro_bar.csv,1,-7.21%,0.00%,-7.21%,-7.21%,0.0,0.0
000156.SZ_pro_bar.csv,1,0.84%,100.00%,0.84%,0.84%,0.008,0.008
000157.SZ_pro_bar.csv,1,0.97%,100.00%,0.97%,0.97%,0.01,0.01
000158.SZ_pro_bar.csv,2,5.92%,50.00%,18.94%,-7.10%,2.666,1.333
000159.SZ_pro_bar.csv,2,0.47%,50.00%,2.03%,-1.10%,1.848,0.924
000166.SZ_pro_bar.csv,2,-1.57%,0.00%,-1.46%,-1.68%,0.0,0.0
000301.SZ_pro_bar.csv,1,4.29%,100.00%,4.29%,4.29%,0.043,0.043
000333.SZ_pro_bar.csv,2,-3.67%,0.00%,-1.03%,-6.30%,0.0,0.0
000338.SZ_pro_bar.csv,2,-0.38%,50.00%,0.56%,-1.32%,0.427,0.213
000400.SZ_pro_bar.csv,5,1.58%,60.00%,11.38%,-5.56%,1.321,0.793
000401.SZ_pro_bar.csv,2,-3.45%,0.00%,-2.71%,-4.20%,0.0,0.0
000402.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000403.SZ_pro_bar.csv,1,-4.14%,0.00%,-4.14%,-4.14%,0.0,0.0
000404.SZ_pro_bar.csv,1,9.20%,100.00%,9.20%,9.20%,0.092,0.092
000407.SZ_pro_bar.csv,1,-0.16%,0.00%,-0.16%,-0.16%,0.0,0.0
000408.SZ_pro_bar.csv,1,10.29%,100.00%,10.29%,10.29%,0.103,0.103
000409.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000410.SZ_pro_bar.csv,1,8.74%,100.00%,8.74%,8.74%,0.087,0.087
000411.SZ_pro_bar.csv,1,-1.92%,0.00%,-1.92%,-1.92%,0.0,0.0
000415.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000417.SZ_pro_bar.csv,1,1.15%,100.00%,1.15%,1.15%,0.012,0.012
000419.SZ_pro_bar.csv,5,1.81%,80.00%,8.00%,-8.95%,0.502,0.402
000420.SZ_pro_bar.csv,1,6.63%,100.00%,6.63%,6.63%,0.066,0.066
000421.SZ_pro_bar.csv,1,-0.16%,0.00%,-0.16%,-0.16%,0.0,0.0
000422.SZ_pro_bar.csv,1,-3.43%,0.00%,-3.43%,-3.43%,0.0,0.0
000423.SZ_pro_bar.csv,4,-2.80%,25.00%,3.06%,-6.99%,0.643,0.161
000425.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000426.SZ_pro_bar.csv,1,1.91%,100.00%,1.91%,1.91%,0.019,0.019
000428.SZ_pro_bar.csv,2,-0.34%,0.00%,-0.17%,-0.51%,0.0,0.0
000429.SZ_pro_bar.csv,1,3.04%,100.00%,3.04%,3.04%,0.03,0.03
000430.SZ_pro_bar.csv,1,11.22%,100.00%,11.22%,11.22%,0.112,0.112
000488.SZ_pro_bar.csv,2,-0.76%,50.00%,4.03%,-5.56%,0.725,0.362
000498.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000501.SZ_pro_bar.csv,1,-0.49%,0.00%,-0.49%,-0.49%,0.0,0.0
000503.SZ_pro_bar.csv,2,-0.00%,50.00%,3.23%,-3.23%,0.997,0.499
000504.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000505.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000506.SZ_pro_bar.csv,2,-5.56%,50.00%,3.72%,-14.84%,0.25,0.125
000507.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000509.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000510.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000513.SZ_pro_bar.csv,1,-2.16%,0.00%,-2.16%,-2.16%,0.0,0.0
000514.SZ_pro_bar.csv,1,3.06%,100.00%,3.06%,3.06%,0.031,0.031
000516.SZ_pro_bar.csv,1,-1.63%,0.00%,-1.63%,-1.63%,0.0,0.0
000517.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000518.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000519.SZ_pro_bar.csv,1,4.91%,100.00%,4.91%,4.91%,0.049,0.049
000520.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000521.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000523.SZ_pro_bar.csv,2,1.13%,50.00%,5.73%,-3.48%,1.647,0.824
000524.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000525.SZ_pro_bar.csv,1,-4.21%,0.00%,-4.21%,-4.21%,0.0,0.0
000526.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000528.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000529.SZ_pro_bar.csv,2,11.68%,100.00%,18.04%,5.32%,0.117,0.117
000530.SZ_pro_bar.csv,1,2.27%,100.00%,2.27%,2.27%,0.023,0.023
000531.SZ_pro_bar.csv,1,0.57%,100.00%,0.57%,0.57%,0.006,0.006
000532.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000533.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000534.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000536.SZ_pro_bar.csv,2,-0.23%,0.00%,-0.13%,-0.33%,0.0,0.0
000537.SZ_pro_bar.csv,1,4.09%,100.00%,4.09%,4.09%,0.041,0.041
000538.SZ_pro_bar.csv,1,4.69%,100.00%,4.69%,4.69%,0.047,0.047
000539.SZ_pro_bar.csv,1,3.39%,100.00%,3.39%,3.39%,0.034,0.034
000541.SZ_pro_bar.csv,2,2.00%,50.00%,4.38%,-0.37%,11.812,5.906
000543.SZ_pro_bar.csv,1,5.48%,100.00%,5.48%,5.48%,0.055,0.055
000544.SZ_pro_bar.csv,1,1.62%,100.00%,1.62%,1.62%,0.016,0.016
000545.SZ_pro_bar.csv,1,2.77%,100.00%,2.77%,2.77%,0.028,0.028
000546.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000547.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000548.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000550.SZ_pro_bar.csv,1,1.96%,100.00%,1.96%,1.96%,0.02,0.02
000551.SZ_pro_bar.csv,1,-7.51%,0.00%,-7.51%,-7.51%,0.0,0.0
000552.SZ_pro_bar.csv,2,-5.88%,0.00%,-3.51%,-8.25%,0.0,0.0
000553.SZ_pro_bar.csv,3,4.23%,66.67%,12.82%,-0.44%,14.912,9.942
000554.SZ_pro_bar.csv,1,-1.23%,0.00%,-1.23%,-1.23%,0.0,0.0
000555.SZ_pro_bar.csv,1,1.94%,100.00%,1.94%,1.94%,0.019,0.019
000557.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000558.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000559.SZ_pro_bar.csv,2,13.78%,100.00%,19.82%,7.74%,0.138,0.138
000560.SZ_pro_bar.csv,1,-13.42%,0.00%,-13.42%,-13.42%,0.0,0.0
000561.SZ_pro_bar.csv,1,-3.23%,0.00%,-3.23%,-3.23%,0.0,0.0
000563.SZ_pro_bar.csv,1,2.88%,100.00%,2.88%,2.88%,0.029,0.029
000564.SZ_pro_bar.csv,2,6.79%,100.00%,12.57%,1.01%,0.068,0.068
000565.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000566.SZ_pro_bar.csv,1,-7.27%,0.00%,-7.27%,-7.27%,0.0,0.0
000567.SZ_pro_bar.csv,1,3.79%,100.00%,3.79%,3.79%,0.038,0.038
000568.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000570.SZ_pro_bar.csv,1,0.94%,100.00%,0.94%,0.94%,0.009,0.009
000571.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000572.SZ_pro_bar.csv,1,-1.47%,0.00%,-1.47%,-1.47%,0.0,0.0
000573.SZ_pro_bar.csv,1,2.75%,100.00%,2.75%,2.75%,0.028,0.028
000576.SZ_pro_bar.csv,1,12.99%,100.00%,12.99%,12.99%,0.13,0.13
000581.SZ_pro_bar.csv,1,1.32%,100.00%,1.32%,1.32%,0.013,0.013
000582.SZ_pro_bar.csv,1,0.14%,100.00%,0.14%,0.14%,0.001,0.001
000586.SZ_pro_bar.csv,3,-7.52%,0.00%,-1.45%,-19.02%,0.0,0.0
000589.SZ_pro_bar.csv,3,-0.13%,33.33%,0.99%,-1.37%,0.723,0.241
000590.SZ_pro_bar.csv,3,-5.23%,33.33%,2.58%,-16.00%,0.282,0.094
000591.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000592.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000593.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000595.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000596.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000597.SZ_pro_bar.csv,1,-4.85%,0.00%,-4.85%,-4.85%,0.0,0.0
000598.SZ_pro_bar.csv,1,-5.67%,0.00%,-5.67%,-5.67%,0.0,0.0
000599.SZ_pro_bar.csv,2,3.84%,100.00%,4.01%,3.67%,0.038,0.038
000600.SZ_pro_bar.csv,2,-3.38%,0.00%,-1.32%,-5.44%,0.0,0.0
000601.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000603.SZ_pro_bar.csv,1,1.56%,100.00%,1.56%,1.56%,0.016,0.016
000605.SZ_pro_bar.csv,2,-0.97%,50.00%,0.93%,-2.86%,0.323,0.162
000607.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000608.SZ_pro_bar.csv,1,2.62%,100.00%,2.62%,2.62%,0.026,0.026
000609.SZ_pro_bar.csv,2,5.78%,100.00%,7.13%,4.42%,0.058,0.058
000610.SZ_pro_bar.csv,3,1.76%,66.67%,5.96%,-1.62%,2.129,1.419
000612.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000615.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
000617.SZ_pro_bar.csv,1,-0.70%,0.00%,-0.70%,-0.70%,0.0,0.0
000619.SZ_pro_bar.csv,0,N/A,N/A,N/A,N/A,,
