ts_code,period,reason
000002.SZ,20250814-20250818,死叉
000004.SZ,20250814-20250818,死叉
000017.SZ,20250814-20250818,死叉
000035.SZ,20250814-20250818,死叉
000056.SZ,20250814-20250818,死叉
000069.SZ,20250814-20250818,死叉
000096.SZ,20250814-20250818,死叉
000151.SZ,20250814-20250818,死叉
000333.SZ,20250814-20250818,死叉
000410.SZ,20250814-20250818,死叉
000423.SZ,20250814-20250818,死叉
000429.SZ,20250814-20250818,死叉
000430.SZ,20250814-20250818,死叉
000518.SZ,20250814-20250818,死叉
000520.SZ,20250814-20250818,死叉
000523.SZ,20250814-20250818,死叉
000525.SZ,20250814-20250818,死叉
000543.SZ,20250814-20250818,死叉
000560.SZ,20250814-20250818,死叉
000564.SZ,20250814-20250818,死叉
000573.SZ,20250814-20250818,死叉
000582.SZ,20250814-20250818,死叉
000592.SZ,20250814-20250818,死叉
000595.SZ,20250814-20250818,死叉
000596.SZ,20250814-20250818,死叉
000598.SZ,20250814-20250818,死叉
000608.SZ,20250814-20250818,死叉
000610.SZ,20250814-20250818,死叉
000615.SZ,20250814-20250818,死叉
000620.SZ,20250814-20250818,死叉
000627.SZ,20250811-20250813,死叉
000638.SZ,20250814-20250818,死叉
000656.SZ,20250814-20250818,死叉
000659.SZ,20250814-20250818,死叉
000695.SZ,20250814-20250818,死叉
000711.SZ,20250814-20250818,死叉
000721.SZ,20250814-20250818,死叉
000722.SZ,20250814-20250818,死叉
000727.SZ,20250814-20250818,死叉
000729.SZ,20250814-20250818,死叉
000759.SZ,20250814-20250818,死叉
000782.SZ,20250814-20250818,死叉
000785.SZ,20250814-20250818,死叉
000786.SZ,20250814-20250818,死叉
000800.SZ,20250814-20250818,死叉
000809.SZ,20250814-20250818,死叉
000816.SZ,20250814-20250818,死叉
000818.SZ,20250814-20250818,死叉
000848.SZ,20250814-20250818,死叉
000851.SZ,20250814-20250818,死叉
000863.SZ,20250814-20250818,死叉
000869.SZ,20250814-20250818,死叉
000882.SZ,20250814-20250818,死叉
000903.SZ,20250814-20250818,死叉
000912.SZ,20250814-20250818,死叉
000921.SZ,20250814-20250818,死叉
000958.SZ,20250814-20250818,死叉
000966.SZ,20250814-20250818,死叉
000975.SZ,20250814-20250818,死叉
000981.SZ,20250814-20250818,死叉
000997.SZ,20250814-20250818,死叉
000998.SZ,20250814-20250818,死叉
000999.SZ,20250814-20250818,死叉
001205.SZ,20250814-20250818,死叉
001279.SZ,20250814-20250818,死叉
001300.SZ,20250814-20250818,死叉
001313.SZ,20250814-20250818,死叉
001328.SZ,20250814-20250818,死叉
001337.SZ,20250814-20250818,死叉
001376.SZ,20250814-20250818,死叉
001382.SZ,20250814-20250818,死叉
001388.SZ,20250814-20250818,死叉
001391.SZ,20250814-20250818,死叉
001395.SZ,20250814-20250818,死叉
001965.SZ,20250814-20250818,死叉
002003.SZ,20250814-20250818,死叉
002014.SZ,20250814-20250818,死叉
002024.SZ,20250814-20250818,死叉
002031.SZ,20250814-20250818,死叉
002032.SZ,20250814-20250818,死叉
002041.SZ,20250814-20250818,死叉
002044.SZ,20250814-20250818,死叉
002053.SZ,20250814-20250818,死叉
002059.SZ,20250814-20250818,死叉
002065.SZ,20250814-20250818,死叉
002076.SZ,20250814-20250818,死叉
002103.SZ,20250814-20250818,死叉
002105.SZ,20250814-20250818,死叉
002112.SZ,20250814-20250818,死叉
002122.SZ,20250814-20250818,死叉
002127.SZ,20250814-20250818,死叉
002134.SZ,20250814-20250818,死叉
002165.SZ,20250814-20250818,死叉
002179.SZ,20250814-20250818,死叉
002183.SZ,20250814-20250818,死叉
002187.SZ,20250814-20250818,死叉
002194.SZ,20250814-20250818,死叉
002196.SZ,20250814-20250818,死叉
002200.SZ,20250814-20250818,死叉
002211.SZ,20250814-20250818,死叉
002219.SZ,20250814-20250818,死叉
002223.SZ,20250814-20250818,死叉
002231.SZ,20250814-20250818,死叉
002251.SZ,20250814-20250818,死叉
002253.SZ,20250814-20250818,死叉
002255.SZ,20250814-20250818,死叉
002274.SZ,20250814-20250818,死叉
002292.SZ,20250814-20250818,死叉
002293.SZ,20250814-20250818,死叉
002301.SZ,20250814-20250818,死叉
002306.SZ,20250814-20250818,死叉
002312.SZ,20250814-20250818,死叉
002318.SZ,20250814-20250818,死叉
002327.SZ,20250814-20250818,死叉
002347.SZ,20250814-20250818,死叉
002355.SZ,20250814-20250818,死叉
002369.SZ,20250814-20250818,死叉
002372.SZ,20250814-20250818,死叉
002397.SZ,20250814-20250818,死叉
002410.SZ,20250814-20250818,死叉
002427.SZ,20250814-20250818,死叉
002431.SZ,20250814-20250818,死叉
002449.SZ,20250814-20250818,死叉
002455.SZ,20250814-20250818,死叉
002456.SZ,20250814-20250818,死叉
002461.SZ,20250814-20250818,死叉
002470.SZ,20250814-20250818,死叉
002482.SZ,20250814-20250818,死叉
002488.SZ,20250814-20250818,死叉
002491.SZ,20250814-20250818,死叉
002501.SZ,20250814-20250818,死叉
002508.SZ,20250814-20250818,死叉
002512.SZ,20250814-20250818,死叉
002514.SZ,20250814-20250818,死叉
002521.SZ,20250814-20250818,死叉
002529.SZ,20250814-20250818,死叉
002530.SZ,20250814-20250818,死叉
002531.SZ,20250814-20250818,死叉
002547.SZ,20250814-20250818,死叉
002563.SZ,20250814-20250818,死叉
002568.SZ,20250814-20250818,死叉
002572.SZ,20250814-20250818,死叉
002574.SZ,20250814-20250818,死叉
002575.SZ,20250814-20250818,死叉
002581.SZ,20250814-20250818,死叉
002582.SZ,20250814-20250818,死叉
002584.SZ,20250814-20250818,死叉
002595.SZ,20250814-20250818,死叉
002594.SZ,20250814-20250818,死叉
002597.SZ,20250814-20250818,死叉
002605.SZ,20250814-20250818,死叉
002607.SZ,20250814-20250818,死叉
002617.SZ,20250814-20250818,死叉
002630.SZ,20250814-20250818,死叉
002650.SZ,20250814-20250818,死叉
002656.SZ,20250814-20250818,死叉
002654.SZ,20250814-20250818,死叉
002677.SZ,20250814-20250818,死叉
002681.SZ,20250814-20250818,死叉
002693.SZ,20250814-20250818,死叉
002700.SZ,20250814-20250818,死叉
002701.SZ,20250814-20250818,死叉
002707.SZ,20250814-20250818,死叉
002713.SZ,20250814-20250818,死叉
002717.SZ,20250814-20250818,死叉
002726.SZ,20250814-20250818,死叉
002727.SZ,20250814-20250818,死叉
002743.SZ,20250814-20250818,死叉
002765.SZ,20250814-20250818,死叉
002766.SZ,20250814-20250818,死叉
002818.SZ,20250814-20250818,死叉
002832.SZ,20250814-20250818,死叉
002840.SZ,20250814-20250818,死叉
002847.SZ,20250814-20250818,死叉
002853.SZ,20250814-20250818,死叉
002862.SZ,20250814-20250818,死叉
002867.SZ,20250814-20250818,死叉
002906.SZ,20250814-20250818,死叉
002919.SZ,20250814-20250818,死叉
002929.SZ,20250814-20250818,死叉
002946.SZ,20250814-20250818,死叉
002970.SZ,20250814-20250818,死叉
002978.SZ,20250814-20250818,死叉
002984.SZ,20250814-20250818,死叉
002989.SZ,20250814-20250818,死叉
002991.SZ,20250814-20250818,死叉
003000.SZ,20250814-20250818,死叉
003002.SZ,20250814-20250818,死叉
003004.SZ,20250814-20250818,死叉
003006.SZ,20250814-20250818,死叉
003038.SZ,20250814-20250818,死叉
003041.SZ,20250814-20250818,死叉
300001.SZ,20250814-20250818,死叉
300044.SZ,20250814-20250818,死叉
300061.SZ,20250814-20250818,死叉
300067.SZ,20250814-20250818,死叉
300076.SZ,20250814-20250818,死叉
300087.SZ,20250814-20250818,死叉
300096.SZ,20250814-20250818,死叉
300128.SZ,20250814-20250818,死叉
300139.SZ,20250814-20250818,死叉
300144.SZ,20250814-20250818,死叉
300147.SZ,20250814-20250818,死叉
300163.SZ,20250814-20250818,死叉
300198.SZ,20250814-20250818,死叉
300203.SZ,20250814-20250818,死叉
300209.SZ,20250814-20250818,死叉
300225.SZ,20250814-20250818,死叉
300240.SZ,20250814-20250818,死叉
300245.SZ,20250814-20250818,死叉
300256.SZ,20250814-20250818,死叉
300266.SZ,20250814-20250818,死叉
300276.SZ,20250814-20250818,死叉
300280.SZ,20250716-20250718,死叉
300287.SZ,20250814-20250818,死叉
300295.SZ,20250814-20250818,死叉
300298.SZ,20250814-20250818,死叉
300307.SZ,20250814-20250818,死叉
300311.SZ,20250814-20250818,死叉
300338.SZ,20250814-20250818,死叉
300345.SZ,20250814-20250818,死叉
300355.SZ,20250814-20250818,死叉
300379.SZ,20250814-20250818,死叉
300380.SZ,20250814-20250818,死叉
300391.SZ,20250814-20250818,死叉
300413.SZ,20250814-20250818,死叉
300423.SZ,20250814-20250818,死叉
300426.SZ,20250814-20250818,死叉
300449.SZ,20250814-20250818,死叉
