buy_date,buy_price,sell_date,sell_price,return
2012-12-21,14.87,2012-12-28,15.6,4.91%
2013-01-10,15.87,2013-01-17,17.74,11.78%
2013-01-11,15.54,2013-01-18,18.33,17.95%
2019-02-15,10.95,2019-02-22,11.54,5.39%
2022-04-13,15.8,2022-04-20,15.85,0.32%
2022-12-12,13.11,2022-12-19,13.04,-0.53%
2024-05-24,11.31,2024-05-31,11.11,-1.77%
