filename,信号数,平均收益,胜率,最大收益,最大亏损,盈亏比,平均盈亏比
000001.SZ_平安银行.csv,7,4.19%,85.71%,13.69%,-0.08%,64.493,55.28
000002.SZ_万科A.csv,6,0.20%,50.00%,3.68%,-2.96%,1.202,0.601
000006.SZ_深振业A.csv,6,-0.24%,33.33%,3.09%,-4.79%,1.599,0.533
000007.SZ_全新好.csv,9,-0.64%,44.44%,5.75%,-6.43%,0.88,0.391
000008.SZ_神州高铁.csv,2,4.07%,100.00%,4.90%,3.23%,0.041,0.041
000009.SZ_中国宝安.csv,11,1.17%,63.64%,6.82%,-2.85%,1.413,0.899
000010.SZ_美丽生态.csv,5,-6.35%,20.00%,4.63%,-12.41%,0.509,0.102
000011.SZ_深物业A.csv,1,3.36%,100.00%,3.36%,3.36%,0.034,0.034
000025.SZ_特力A.csv,2,-1.40%,0.00%,-0.35%,-2.44%,0.0,0.0
000026.SZ_飞亚达.csv,7,2.61%,57.14%,8.68%,-2.12%,3.274,1.871
000027.SZ_深圳能源.csv,6,1.38%,66.67%,9.38%,-5.01%,1.252,0.834
000028.SZ_国药一致.csv,5,-0.74%,40.00%,3.60%,-4.80%,0.863,0.345
000030.SZ_富奥股份.csv,9,-0.24%,55.56%,6.86%,-9.77%,0.711,0.395
000031.SZ_大悦城.csv,4,0.26%,100.00%,0.42%,0.20%,0.003,0.003
000032.SZ_深桑达A.csv,10,0.84%,50.00%,8.50%,-9.81%,1.431,0.716
000034.SZ_神州数码.csv,9,-1.18%,22.22%,1.82%,-4.69%,0.768,0.171
000035.SZ_中国天楹.csv,10,-1.44%,30.00%,0.93%,-7.98%,0.255,0.077
000036.SZ_华联控股.csv,17,1.41%,70.59%,9.31%,-4.91%,1.423,1.005
000037.SZ_深南电A.csv,10,-1.85%,20.00%,1.34%,-5.00%,0.45,0.09
000039.SZ_中集集团.csv,17,1.72%,64.71%,8.86%,-4.37%,2.507,1.622
000042.SZ_中洲控股.csv,9,0.83%,66.67%,6.21%,-2.17%,1.38,0.92
000045.SZ_深纺织A.csv,3,1.22%,33.33%,6.13%,-1.60%,4.996,1.665
000048.SZ_京基智农.csv,12,-0.99%,41.67%,5.60%,-9.77%,0.525,0.219
000049.SZ_德赛电池.csv,10,2.63%,70.00%,5.88%,-0.65%,12.203,8.542
000050.SZ_深天马A.csv,12,-0.29%,41.67%,8.59%,-5.45%,0.99,0.412
000055.SZ_方大集团.csv,8,-1.15%,25.00%,1.60%,-2.66%,0.547,0.137
000056.SZ_皇庭国际.csv,4,-4.09%,50.00%,2.34%,-13.81%,0.144,0.072
000058.SZ_深赛格.csv,6,-1.44%,33.33%,1.21%,-5.27%,0.315,0.105
000059.SZ_华锦股份.csv,7,-0.56%,42.86%,2.67%,-5.00%,0.84,0.36
