ts_code,period,reason
000056.SZ,20250829-20250902,死叉
000096.SZ,20250829-20250902,死叉
000151.SZ,20250829-20250902,死叉
000423.SZ,20250829-20250902,死叉
000429.SZ,20250829-20250902,死叉
000430.SZ,20250829-20250902,死叉
000520.SZ,20250829-20250902,死叉
000525.SZ,20250829-20250902,死叉
000564.SZ,20250829-20250902,死叉
000582.SZ,20250829-20250902,死叉
000598.SZ,20250829-20250902,死叉
000620.SZ,20250829-20250902,死叉
000627.SZ,20250811-20250813,死叉
000656.SZ,20250829-20250902,死叉
000659.SZ,20250829-20250902,死叉
000695.SZ,20250829-20250902,死叉
000729.SZ,20250829-20250902,死叉
000761.SZ,20250829-20250902,死叉
000785.SZ,20250829-20250902,死叉
000786.SZ,20250829-20250902,死叉
000791.SZ,20250829-20250902,死叉
000793.SZ,20250829-20250902,死叉
000809.SZ,20250829-20250902,死叉
000822.SZ,20250829-20250902,死叉
000848.SZ,20250829-20250902,死叉
000851.SZ,20250829-20250902,死叉
000863.SZ,20250829-20250902,死叉
000881.SZ,20250829-20250902,死叉
000903.SZ,20250829-20250902,死叉
000912.SZ,20250829-20250902,死叉
000921.SZ,20250829-20250902,死叉
000966.SZ,20250829-20250902,死叉
000975.SZ,20250829-20250902,死叉
000997.SZ,20250829-20250902,死叉
000998.SZ,20250829-20250902,死叉
000999.SZ,20250829-20250902,死叉
001205.SZ,20250829-20250902,死叉
001258.SZ,20250829-20250902,死叉
001313.SZ,20250829-20250902,死叉
001328.SZ,20250829-20250902,死叉
001337.SZ,20250829-20250902,死叉
001382.SZ,20250829-20250902,死叉
001965.SZ,20250829-20250902,死叉
002014.SZ,20250829-20250902,死叉
002032.SZ,20250829-20250902,死叉
002041.SZ,20250829-20250902,死叉
002059.SZ,20250829-20250902,死叉
002076.SZ,20250829-20250902,死叉
002105.SZ,20250829-20250902,死叉
002122.SZ,20250829-20250902,死叉
002127.SZ,20250829-20250902,死叉
002149.SZ,20250829-20250902,死叉
002200.SZ,20250829-20250902,死叉
002221.SZ,20250829-20250902,死叉
002219.SZ,20250829-20250902,死叉
002274.SZ,20250829-20250902,死叉
002293.SZ,20250829-20250902,死叉
002306.SZ,20250829-20250902,死叉
002318.SZ,20250829-20250902,死叉
002327.SZ,20250829-20250902,死叉
002333.SZ,20250829-20250902,死叉
002348.SZ,20250829-20250902,死叉
002355.SZ,20250829-20250902,死叉
002365.SZ,20250829-20250902,死叉
002374.SZ,20250829-20250902,死叉
002427.SZ,20250829-20250902,死叉
002455.SZ,20250829-20250902,死叉
002457.SZ,20250829-20250902,死叉
002461.SZ,20250829-20250902,死叉
002488.SZ,20250829-20250902,死叉
002512.SZ,20250829-20250902,死叉
002541.SZ,20250829-20250902,死叉
002556.SZ,20250829-20250902,死叉
002572.SZ,20250829-20250902,死叉
002574.SZ,20250829-20250902,死叉
002575.SZ,20250829-20250902,死叉
002581.SZ,20250829-20250902,死叉
002584.SZ,20250829-20250902,死叉
002594.SZ,20250829-20250902,死叉
002596.SZ,20250829-20250902,死叉
002630.SZ,20250829-20250902,死叉
002694.SZ,20250829-20250902,死叉
002700.SZ,20250829-20250902,死叉
002717.SZ,20250829-20250902,死叉
002726.SZ,20250829-20250902,死叉
002727.SZ,20250829-20250902,死叉
002743.SZ,20250829-20250902,死叉
002765.SZ,20250829-20250902,死叉
002795.SZ,20250829-20250902,死叉
002818.SZ,20250829-20250902,死叉
002847.SZ,20250829-20250902,死叉
002853.SZ,20250829-20250902,死叉
002919.SZ,20250829-20250902,死叉
002966.SZ,20250829-20250902,死叉
002989.SZ,20250829-20250902,死叉
002991.SZ,20250829-20250902,死叉
003000.SZ,20250829-20250902,死叉
003001.SZ,20250829-20250902,死叉
003002.SZ,20250829-20250902,死叉
003038.SZ,20250829-20250902,死叉
003041.SZ,20250829-20250902,死叉
300067.SZ,20250829-20250902,死叉
300078.SZ,20250829-20250902,死叉
300081.SZ,20250829-20250902,死叉
300163.SZ,20250829-20250902,死叉
300198.SZ,20250829-20250902,死叉
300209.SZ,20250829-20250902,死叉
300225.SZ,20250829-20250902,死叉
