ts_code,period,reason
600215.SH,20250827-20250829,死叉
600217.SH,20250827-20250829,死叉
600272.SH,20250827-20250829,死叉
600283.SH,20250827-20250829,死叉
600300.SH,20250827-20250829,死叉
600303.SH,20250827-20250829,死叉
600310.SH,20250827-20250829,死叉
600337.SH,20250827-20250829,死叉
600340.SH,20250827-20250829,死叉
600350.SH,20250827-20250829,死叉
600368.SH,20250827-20250829,死叉
600377.SH,20250827-20250829,死叉
600398.SH,20250827-20250829,死叉
600403.SH,20250827-20250829,死叉
600406.SH,20250827-20250829,死叉
600422.SH,20250827-20250829,死叉
600439.SH,20250827-20250829,死叉
600461.SH,20250827-20250829,死叉
600470.SH,20250827-20250829,死叉
600491.SH,20250827-20250829,死叉
600505.SH,20250827-20250829,死叉
600519.SH,20250827-20250829,死叉
600525.SH,20250827-20250829,死叉
600548.SH,20250827-20250829,死叉
600576.SH,20250827-20250829,死叉
600575.SH,20250827-20250829,死叉
600600.SH,20250827-20250829,死叉
600605.SH,20250827-20250829,死叉
600610.SH,20250827-20250829,死叉
600609.SH,20250827-20250829,死叉
600612.SH,20250827-20250829,死叉
600642.SH,20250827-20250829,死叉
600644.SH,20250827-20250829,死叉
600663.SH,20250827-20250829,死叉
600674.SH,20250827-20250829,死叉
600686.SH,20250827-20250829,死叉
600688.SH,20250827-20250829,死叉
600694.SH,20250827-20250829,死叉
600696.SH,20250827-20250829,死叉
600707.SH,20250827-20250829,死叉
600719.SH,20250827-20250829,死叉
600734.SH,20250827-20250829,死叉
600738.SH,20250827-20250829,死叉
600746.SH,20250827-20250829,死叉
600780.SH,20250827-20250829,死叉
600789.SH,20250827-20250829,死叉
600793.SH,20250827-20250829,死叉
600844.SH,20250827-20250829,死叉
600868.SH,20250827-20250829,死叉
600882.SH,20250827-20250829,死叉
600887.SH,20250827-20250829,死叉
600900.SH,20250827-20250829,死叉
600901.SH,20250827-20250829,死叉
600916.SH,20250827-20250829,死叉
600925.SH,20250827-20250829,死叉
600930.SH,20250827-20250829,死叉
600941.SH,20250827-20250829,死叉
600979.SH,20250827-20250829,死叉
600988.SH,20250827-20250829,死叉
601000.SH,20250827-20250829,死叉
601006.SH,20250827-20250829,死叉
601008.SH,20250827-20250829,死叉
601010.SH,20250827-20250829,死叉
601019.SH,20250827-20250829,死叉
601021.SH,20250827-20250829,死叉
601077.SH,20250827-20250829,死叉
601098.SH,20250827-20250829,死叉
601107.SH,20250827-20250829,死叉
601116.SH,20250827-20250829,死叉
601113.SH,20250827-20250829,死叉
601111.SH,20250827-20250829,死叉
601169.SH,20250827-20250829,死叉
601229.SH,20250827-20250829,死叉
601298.SH,20250827-20250829,死叉
601328.SH,20250827-20250829,死叉
601330.SH,20250827-20250829,死叉
601665.SH,20250827-20250829,死叉
601728.SH,20250827-20250829,死叉
601799.SH,20250827-20250829,死叉
601816.SH,20250827-20250829,死叉
601818.SH,20250827-20250829,死叉
601825.SH,20250827-20250829,死叉
601838.SH,20250827-20250829,死叉
601900.SH,20250827-20250829,死叉
601918.SH,20250827-20250829,死叉
601939.SH,20250827-20250829,死叉
601952.SH,20250827-20250829,死叉
601963.SH,20250827-20250829,死叉
601985.SH,20250827-20250829,死叉
603007.SH,20250827-20250829,死叉
603016.SH,20250827-20250829,死叉
603095.SH,20250827-20250829,死叉
603117.SH,20250827-20250829,死叉
603121.SH,20250827-20250829,死叉
603156.SH,20250827-20250829,死叉
603193.SH,20250827-20250829,死叉
603195.SH,20250827-20250829,死叉
603208.SH,20250827-20250829,死叉
603214.SH,20250827-20250829,死叉
603262.SH,20250827-20250829,死叉
