ts_code,period,reason
000001.SZ,20250909-20250911,死叉
000030.SZ,20250909-20250911,死叉
000037.SZ,20250909-20250911,死叉
000059.SZ,20250909-20250911,死叉
000056.SZ,20250909-20250911,死叉
000069.SZ,20250909-20250911,死叉
000088.SZ,20250909-20250911,死叉
000096.SZ,20250909-20250911,死叉
000151.SZ,20250909-20250911,死叉
000338.SZ,20250909-20250911,死叉
000421.SZ,20250909-20250911,死叉
000423.SZ,20250909-20250911,死叉
000429.SZ,20250909-20250911,死叉
000503.SZ,20250909-20250911,死叉
000507.SZ,20250909-20250911,死叉
000509.SZ,20250909-20250911,死叉
000516.SZ,20250909-20250911,死叉
000519.SZ,20250909-20250911,死叉
000520.SZ,20250909-20250911,死叉
000525.SZ,20250909-20250911,死叉
000526.SZ,20250909-20250911,死叉
000539.SZ,20250909-20250911,死叉
000553.SZ,20250909-20250911,死叉
000560.SZ,20250909-20250911,死叉
000565.SZ,20250909-20250911,死叉
000566.SZ,20250909-20250911,死叉
000598.SZ,20250909-20250911,死叉
000601.SZ,20250909-20250911,死叉
000605.SZ,20250909-20250911,死叉
000615.SZ,20250909-20250911,死叉
000627.SZ,20250811-20250813,死叉
000635.SZ,20250909-20250911,死叉
000651.SZ,20250909-20250911,死叉
000656.SZ,20250908-20250910,死叉
000659.SZ,20250909-20250911,死叉
000663.SZ,20250909-20250911,死叉
000677.SZ,20250909-20250911,死叉
000701.SZ,20250909-20250911,死叉
000713.SZ,20250909-20250911,死叉
000722.SZ,20250909-20250911,死叉
000729.SZ,20250909-20250911,死叉
000733.SZ,20250909-20250911,死叉
000738.SZ,20250909-20250911,死叉
000755.SZ,20250909-20250911,死叉
000761.SZ,20250909-20250911,死叉
000768.SZ,20250909-20250911,死叉
000777.SZ,20250909-20250911,死叉
000779.SZ,20250909-20250911,死叉
000785.SZ,20250909-20250911,死叉
000786.SZ,20250909-20250911,死叉
000791.SZ,20250909-20250911,死叉
000793.SZ,20250909-20250911,死叉
000802.SZ,20250909-20250911,死叉
000809.SZ,20250909-20250911,死叉
000820.SZ,20250909-20250911,死叉
000822.SZ,20250909-20250911,死叉
000829.SZ,20250909-20250911,死叉
000848.SZ,20250909-20250911,死叉
000851.SZ,20250909-20250911,死叉
000859.SZ,20250909-20250911,死叉
000863.SZ,20250909-20250911,死叉
000881.SZ,20250909-20250911,死叉
000886.SZ,20250909-20250911,死叉
000903.SZ,20250909-20250911,死叉
000906.SZ,20250909-20250911,死叉
000909.SZ,20250909-20250911,死叉
000912.SZ,20250909-20250911,死叉
000921.SZ,20250909-20250911,死叉
000948.SZ,20250909-20250911,死叉
000951.SZ,20250909-20250911,死叉
000958.SZ,20250909-20250911,死叉
000966.SZ,20250909-20250911,死叉
000997.SZ,20250909-20250911,死叉
000998.SZ,20250909-20250911,死叉
000999.SZ,20250909-20250911,死叉
001205.SZ,20250909-20250911,死叉
001207.SZ,20250909-20250911,死叉
001228.SZ,20250909-20250911,死叉
001258.SZ,20250909-20250911,死叉
001277.SZ,20250909-20250911,死叉
001313.SZ,20250909-20250911,死叉
001328.SZ,20250909-20250911,死叉
001356.SZ,20250909-20250911,死叉
001376.SZ,20250909-20250911,死叉
001382.SZ,20250909-20250911,死叉
001387.SZ,20250909-20250911,死叉
001391.SZ,20250909-20250911,死叉
001965.SZ,20250909-20250911,死叉
002003.SZ,20250909-20250911,死叉
002014.SZ,20250909-20250911,死叉
002016.SZ,20250909-20250911,死叉
002032.SZ,20250909-20250911,死叉
002040.SZ,20250909-20250911,死叉
002041.SZ,20250909-20250911,死叉
002054.SZ,20250909-20250911,死叉
002076.SZ,20250909-20250911,死叉
002081.SZ,20250909-20250911,死叉
002086.SZ,20250909-20250911,死叉
002094.SZ,20250909-20250911,死叉
002103.SZ,20250909-20250911,死叉
002105.SZ,20250909-20250911,死叉
002111.SZ,20250909-20250911,死叉
002123.SZ,20250909-20250911,死叉
002124.SZ,20250909-20250911,死叉
002127.SZ,20250909-20250911,死叉
002149.SZ,20250909-20250911,死叉
002154.SZ,20250909-20250911,死叉
002166.SZ,20250909-20250911,死叉
002193.SZ,20250909-20250911,死叉
002196.SZ,20250909-20250911,死叉
002198.SZ,20250909-20250911,死叉
002200.SZ,20250909-20250911,死叉
002208.SZ,20250909-20250911,死叉
002219.SZ,20250909-20250911,死叉
002221.SZ,20250909-20250911,死叉
002224.SZ,20250909-20250911,死叉
002238.SZ,20250909-20250911,死叉
002254.SZ,20250909-20250911,死叉
002255.SZ,20250909-20250911,死叉
002274.SZ,20250909-20250911,死叉
002282.SZ,20250909-20250911,死叉
002291.SZ,20250909-20250911,死叉
002292.SZ,20250909-20250911,死叉
002293.SZ,20250909-20250911,死叉
002300.SZ,20250909-20250911,死叉
002301.SZ,20250909-20250911,死叉
002306.SZ,20250909-20250911,死叉
002309.SZ,20250909-20250911,死叉
002318.SZ,20250909-20250911,死叉
002327.SZ,20250909-20250911,死叉
002333.SZ,20250909-20250911,死叉
002352.SZ,20250909-20250911,死叉
002355.SZ,20250909-20250911,死叉
002360.SZ,20250909-20250911,死叉
002365.SZ,20250909-20250911,死叉
002372.SZ,20250909-20250911,死叉
002389.SZ,20250909-20250911,死叉
002427.SZ,20250909-20250911,死叉
002440.SZ,20250909-20250911,死叉
002451.SZ,20250909-20250911,死叉
002455.SZ,20250909-20250911,死叉
002457.SZ,20250909-20250911,死叉
002461.SZ,20250909-20250911,死叉
002485.SZ,20250909-20250911,死叉
002488.SZ,20250909-20250911,死叉
002512.SZ,20250909-20250911,死叉
002524.SZ,20250909-20250911,死叉
002535.SZ,20250909-20250911,死叉
002538.SZ,20250909-20250911,死叉
002541.SZ,20250909-20250911,死叉
002556.SZ,20250909-20250911,死叉
002567.SZ,20250909-20250911,死叉
002572.SZ,20250909-20250911,死叉
002574.SZ,20250909-20250911,死叉
002575.SZ,20250909-20250911,死叉
002581.SZ,20250909-20250911,死叉
002584.SZ,20250909-20250911,死叉
002589.SZ,20250909-20250911,死叉
002594.SZ,20250909-20250911,死叉
002596.SZ,20250909-20250911,死叉
002597.SZ,20250909-20250911,死叉
002607.SZ,20250909-20250911,死叉
002609.SZ,20250909-20250911,死叉
002661.SZ,20250909-20250911,死叉
002677.SZ,20250909-20250911,死叉
002678.SZ,20250909-20250911,死叉
002682.SZ,20250909-20250911,死叉
002683.SZ,20250909-20250911,死叉
002693.SZ,20250909-20250911,死叉
002694.SZ,20250909-20250911,死叉
002700.SZ,20250909-20250911,死叉
002703.SZ,20250909-20250911,死叉
002717.SZ,20250909-20250911,死叉
002726.SZ,20250909-20250911,死叉
002727.SZ,20250909-20250911,死叉
002742.SZ,20250909-20250911,死叉
002743.SZ,20250909-20250911,死叉
002765.SZ,20250909-20250911,死叉
002766.SZ,20250909-20250911,死叉
002787.SZ,20250909-20250911,死叉
002791.SZ,20250909-20250911,死叉
002795.SZ,20250909-20250911,死叉
002802.SZ,20250909-20250911,死叉
002809.SZ,20250909-20250911,死叉
002818.SZ,20250909-20250911,死叉
002822.SZ,20250909-20250911,死叉
002847.SZ,20250909-20250911,死叉
002853.SZ,20250909-20250911,死叉
002856.SZ,20250909-20250911,死叉
002880.SZ,20250909-20250911,死叉
002899.SZ,20250909-20250911,死叉
002900.SZ,20250909-20250911,死叉
002919.SZ,20250909-20250911,死叉
002931.SZ,20250909-20250911,死叉
002932.SZ,20250909-20250911,死叉
002949.SZ,20250909-20250911,死叉
002952.SZ,20250909-20250911,死叉
002958.SZ,20250909-20250911,死叉
002966.SZ,20250909-20250911,死叉
002977.SZ,20250909-20250911,死叉
002982.SZ,20250909-20250911,死叉
002985.SZ,20250909-20250911,死叉
002990.SZ,20250909-20250911,死叉
002991.SZ,20250909-20250911,死叉
002992.SZ,20250909-20250911,死叉
002995.SZ,20250909-20250911,死叉
003002.SZ,20250909-20250911,死叉
003000.SZ,20250909-20250911,死叉
003001.SZ,20250909-20250911,死叉
003038.SZ,20250909-20250911,死叉
003039.SZ,20250909-20250911,死叉
003041.SZ,20250909-20250911,死叉
300013.SZ,20250909-20250911,死叉
300020.SZ,20250909-20250911,死叉
300022.SZ,20250909-20250911,死叉
300039.SZ,20250909-20250911,死叉
300040.SZ,20250909-20250911,死叉
300067.SZ,20250909-20250911,死叉
300069.SZ,20250909-20250911,死叉
300070.SZ,20250909-20250911,死叉
300071.SZ,20250909-20250911,死叉
300076.SZ,20250909-20250911,死叉
300078.SZ,20250909-20250911,死叉
300081.SZ,20250909-20250911,死叉
300087.SZ,20250909-20250911,死叉
300094.SZ,20250909-20250911,死叉
300100.SZ,20250909-20250911,死叉
300105.SZ,20250909-20250911,死叉
300107.SZ,20250909-20250911,死叉
300154.SZ,20250909-20250911,死叉
300163.SZ,20250909-20250911,死叉
300169.SZ,20250909-20250911,死叉
300177.SZ,20250909-20250911,死叉
300179.SZ,20250909-20250911,死叉
300180.SZ,20250909-20250911,死叉
300198.SZ,20250909-20250911,死叉
300203.SZ,20250909-20250911,死叉
300209.SZ,20250909-20250911,死叉
300220.SZ,20250909-20250911,死叉
300228.SZ,20250909-20250911,死叉
300240.SZ,20250909-20250911,死叉
300242.SZ,20250909-20250911,死叉
300245.SZ,20250909-20250911,死叉
300248.SZ,20250909-20250911,死叉
300251.SZ,20250909-20250911,死叉
300253.SZ,20250909-20250911,死叉
300265.SZ,20250909-20250911,死叉
300276.SZ,20250909-20250911,死叉
300280.SZ,20250716-20250718,死叉
300284.SZ,20250909-20250911,死叉
300294.SZ,20250909-20250911,死叉
300295.SZ,20250909-20250911,死叉
300298.SZ,20250909-20250911,死叉
300299.SZ,20250909-20250911,死叉
300307.SZ,20250909-20250911,死叉
300311.SZ,20250909-20250911,死叉
300318.SZ,20250909-20250911,死叉
300338.SZ,20250909-20250911,死叉
300344.SZ,20250909-20250911,死叉
300360.SZ,20250909-20250911,死叉
300377.SZ,20250909-20250911,死叉
300381.SZ,20250909-20250911,死叉
300384.SZ,20250909-20250911,死叉
300386.SZ,20250909-20250911,死叉
300391.SZ,20250909-20250911,死叉
300396.SZ,20250909-20250911,死叉
300402.SZ,20250909-20250911,死叉
300401.SZ,20250909-20250911,死叉
300421.SZ,20250909-20250911,死叉
300423.SZ,20250909-20250911,死叉
300425.SZ,20250909-20250911,死叉
300424.SZ,20250909-20250911,死叉
300447.SZ,20250909-20250911,死叉
300448.SZ,20250909-20250911,死叉
300449.SZ,20250909-20250911,死叉
300451.SZ,20250909-20250911,死叉
300460.SZ,20250909-20250911,死叉
300466.SZ,20250909-20250911,死叉
300477.SZ,20250909-20250911,死叉
300482.SZ,20250909-20250911,死叉
300492.SZ,20250909-20250911,死叉
300504.SZ,20250909-20250911,死叉
300511.SZ,20250909-20250911,死叉
300515.SZ,20250909-20250911,死叉
300522.SZ,20250909-20250911,死叉
300523.SZ,20250909-20250911,死叉
300525.SZ,20250909-20250911,死叉
300527.SZ,20250909-20250911,死叉
300575.SZ,20250909-20250911,死叉
300578.SZ,20250909-20250911,死叉
300583.SZ,20250909-20250911,死叉
300594.SZ,20250909-20250911,死叉
300599.SZ,20250909-20250911,死叉
300612.SZ,20250909-20250911,死叉
300639.SZ,20250909-20250911,死叉
300641.SZ,20250909-20250911,死叉
300652.SZ,20250909-20250911,死叉
300654.SZ,20250909-20250911,死叉
300674.SZ,20250909-20250911,死叉
300675.SZ,20250909-20250911,死叉
300687.SZ,20250909-20250911,死叉
300694.SZ,20250909-20250911,死叉
300719.SZ,20250909-20250911,死叉
300721.SZ,20250909-20250911,死叉
300755.SZ,20250909-20250911,死叉
300775.SZ,20250909-20250911,死叉
