ts_code,period,reason
000002.SZ,20250828-20250901,死叉
000019.SZ,20250828-20250901,死叉
000009.SZ,20250828-20250901,死叉
000026.SZ,20250828-20250901,死叉
000025.SZ,20250828-20250901,死叉
000027.SZ,20250828-20250901,死叉
000012.SZ,20250828-20250901,死叉
000028.SZ,20250828-20250901,死叉
000030.SZ,20250828-20250901,死叉
000031.SZ,20250828-20250901,死叉
000037.SZ,20250828-20250901,死叉
000042.SZ,20250828-20250901,死叉
000048.SZ,20250828-20250901,死叉
000049.SZ,20250828-20250901,死叉
000055.SZ,20250828-20250901,死叉
000060.SZ,20250828-20250901,死叉
000089.SZ,20250828-20250901,死叉
000090.SZ,20250828-20250901,死叉
000096.SZ,20250828-20250901,死叉
000099.SZ,20250828-20250901,死叉
000056.SZ,20250828-20250901,死叉
000153.SZ,20250828-20250901,死叉
000157.SZ,20250828-20250901,死叉
000333.SZ,20250828-20250901,死叉
000338.SZ,20250828-20250901,死叉
000301.SZ,20250828-20250901,死叉
000401.SZ,20250828-20250901,死叉
000402.SZ,20250828-20250901,死叉
000403.SZ,20250828-20250901,死叉
000404.SZ,20250828-20250901,死叉
000408.SZ,20250828-20250901,死叉
000409.SZ,20250828-20250901,死叉
000410.SZ,20250828-20250901,死叉
000411.SZ,20250828-20250901,死叉
000421.SZ,20250828-20250901,死叉
000423.SZ,20250828-20250901,死叉
000426.SZ,20250828-20250901,死叉
000429.SZ,20250828-20250901,死叉
000430.SZ,20250828-20250901,死叉
000488.SZ,20250828-20250901,死叉
000498.SZ,20250828-20250901,死叉
000513.SZ,20250828-20250901,死叉
000517.SZ,20250828-20250901,死叉
000516.SZ,20250828-20250901,死叉
000519.SZ,20250828-20250901,死叉
000521.SZ,20250828-20250901,死叉
000526.SZ,20250828-20250901,死叉
000529.SZ,20250828-20250901,死叉
000534.SZ,20250828-20250901,死叉
000538.SZ,20250828-20250901,死叉
000543.SZ,20250828-20250901,死叉
000548.SZ,20250828-20250901,死叉
000550.SZ,20250828-20250901,死叉
000552.SZ,20250828-20250901,死叉
000553.SZ,20250828-20250901,死叉
000555.SZ,20250828-20250901,死叉
000559.SZ,20250828-20250901,死叉
000560.SZ,20250828-20250901,死叉
000566.SZ,20250828-20250901,死叉
000568.SZ,20250828-20250901,死叉
000572.SZ,20250828-20250901,死叉
000582.SZ,20250828-20250901,死叉
000590.SZ,20250828-20250901,死叉
000592.SZ,20250828-20250901,死叉
000596.SZ,20250828-20250901,死叉
000598.SZ,20250828-20250901,死叉
000600.SZ,20250828-20250901,死叉
000601.SZ,20250828-20250901,死叉
000603.SZ,20250828-20250901,死叉
000605.SZ,20250828-20250901,死叉
000608.SZ,20250828-20250901,死叉
000612.SZ,20250828-20250901,死叉
000609.SZ,20250828-20250901,死叉
000610.SZ,20250828-20250901,死叉
000627.SZ,20250811-20250813,死叉
000630.SZ,20250828-20250901,死叉
000631.SZ,20250828-20250901,死叉
000638.SZ,20250828-20250901,死叉
000650.SZ,20250828-20250901,死叉
000652.SZ,20250828-20250901,死叉
000657.SZ,20250828-20250901,死叉
000661.SZ,20250828-20250901,死叉
000663.SZ,20250828-20250901,死叉
000669.SZ,20250828-20250901,死叉
000672.SZ,20250828-20250901,死叉
000680.SZ,20250828-20250901,死叉
000681.SZ,20250828-20250901,死叉
000682.SZ,20250828-20250901,死叉
000683.SZ,20250828-20250901,死叉
000688.SZ,20250828-20250901,死叉
000695.SZ,20250828-20250901,死叉
000698.SZ,20250828-20250901,死叉
000705.SZ,20250828-20250901,死叉
000707.SZ,20250828-20250901,死叉
000709.SZ,20250828-20250901,死叉
000711.SZ,20250828-20250901,死叉
000713.SZ,20250828-20250901,死叉
000717.SZ,20250828-20250901,死叉
000721.SZ,20250828-20250901,死叉
000729.SZ,20250828-20250901,死叉
000731.SZ,20250828-20250901,死叉
000735.SZ,20250828-20250901,死叉
000737.SZ,20250828-20250901,死叉
000739.SZ,20250828-20250901,死叉
000751.SZ,20250828-20250901,死叉
000752.SZ,20250828-20250901,死叉
000753.SZ,20250828-20250901,死叉
000755.SZ,20250828-20250901,死叉
000757.SZ,20250828-20250901,死叉
000756.SZ,20250828-20250901,死叉
000768.SZ,20250828-20250901,死叉
000777.SZ,20250828-20250901,死叉
000762.SZ,20250828-20250901,死叉
000778.SZ,20250828-20250901,死叉
000782.SZ,20250828-20250901,死叉
000786.SZ,20250828-20250901,死叉
000791.SZ,20250828-20250901,死叉
000789.SZ,20250828-20250901,死叉
000792.SZ,20250828-20250901,死叉
000796.SZ,20250828-20250901,死叉
000798.SZ,20250828-20250901,死叉
000793.SZ,20250828-20250901,死叉
000799.SZ,20250828-20250901,死叉
000807.SZ,20250828-20250901,死叉
000816.SZ,20250828-20250901,死叉
000818.SZ,20250828-20250901,死叉
000825.SZ,20250828-20250901,死叉
000830.SZ,20250828-20250901,死叉
000831.SZ,20250828-20250901,死叉
000833.SZ,20250828-20250901,死叉
000838.SZ,20250828-20250901,死叉
000839.SZ,20250828-20250901,死叉
000848.SZ,20250828-20250901,死叉
000850.SZ,20250828-20250901,死叉
000858.SZ,20250828-20250901,死叉
000856.SZ,20250828-20250901,死叉
000860.SZ,20250828-20250901,死叉
000862.SZ,20250828-20250901,死叉
000869.SZ,20250828-20250901,死叉
000875.SZ,20250828-20250901,死叉
000878.SZ,20250828-20250901,死叉
000883.SZ,20250828-20250901,死叉
000886.SZ,20250828-20250901,死叉
000888.SZ,20250828-20250901,死叉
000890.SZ,20250828-20250901,死叉
000892.SZ,20250828-20250901,死叉
000893.SZ,20250828-20250901,死叉
000895.SZ,20250828-20250901,死叉
000897.SZ,20250828-20250901,死叉
000899.SZ,20250828-20250901,死叉
000898.SZ,20250828-20250901,死叉
000901.SZ,20250828-20250901,死叉
000900.SZ,20250828-20250901,死叉
000902.SZ,20250828-20250901,死叉
000903.SZ,20250828-20250901,死叉
000908.SZ,20250828-20250901,死叉
000906.SZ,20250828-20250901,死叉
000909.SZ,20250828-20250901,死叉
000915.SZ,20250828-20250901,死叉
000920.SZ,20250828-20250901,死叉
000923.SZ,20250828-20250901,死叉
000926.SZ,20250828-20250901,死叉
000928.SZ,20250828-20250901,死叉
000931.SZ,20250828-20250901,死叉
000932.SZ,20250828-20250901,死叉
000933.SZ,20250828-20250901,死叉
000937.SZ,20250828-20250901,死叉
000938.SZ,20250828-20250901,死叉
000950.SZ,20250828-20250901,死叉
000957.SZ,20250828-20250901,死叉
000959.SZ,20250828-20250901,死叉
000960.SZ,20250828-20250901,死叉
000963.SZ,20250828-20250901,死叉
000962.SZ,20250828-20250901,死叉
000966.SZ,20250828-20250901,死叉
000967.SZ,20250828-20250901,死叉
000969.SZ,20250828-20250901,死叉
000973.SZ,20250828-20250901,死叉
000975.SZ,20250828-20250901,死叉
000978.SZ,20250828-20250901,死叉
000985.SZ,20250828-20250901,死叉
000988.SZ,20250828-20250901,死叉
000989.SZ,20250828-20250901,死叉
000993.SZ,20250828-20250901,死叉
000995.SZ,20250828-20250901,死叉
000998.SZ,20250828-20250901,死叉
000999.SZ,20250828-20250901,死叉
001201.SZ,20250828-20250901,死叉
001203.SZ,20250828-20250901,死叉
001208.SZ,20250828-20250901,死叉
001210.SZ,20250828-20250901,死叉
001209.SZ,20250828-20250901,死叉
001216.SZ,20250828-20250901,死叉
001215.SZ,20250828-20250901,死叉
001217.SZ,20250828-20250901,死叉
001218.SZ,20250828-20250901,死叉
001219.SZ,20250828-20250901,死叉
001221.SZ,20250828-20250901,死叉
001222.SZ,20250828-20250901,死叉
001225.SZ,20250828-20250901,死叉
001227.SZ,20250828-20250901,死叉
001228.SZ,20250828-20250901,死叉
001229.SZ,20250828-20250901,死叉
001230.SZ,20250828-20250901,死叉
001238.SZ,20250828-20250901,死叉
001258.SZ,20250828-20250901,死叉
001260.SZ,20250828-20250901,死叉
001267.SZ,20250828-20250901,死叉
001268.SZ,20250828-20250901,死叉
001270.SZ,20250828-20250901,死叉
001283.SZ,20250828-20250901,死叉
001286.SZ,20250828-20250901,死叉
001301.SZ,20250828-20250901,死叉
001309.SZ,20250828-20250901,死叉
001311.SZ,20250828-20250901,死叉
001313.SZ,20250828-20250901,死叉
001316.SZ,20250828-20250901,死叉
001317.SZ,20250828-20250901,死叉
001324.SZ,20250828-20250901,死叉
001328.SZ,20250828-20250901,死叉
001331.SZ,20250828-20250901,死叉
001332.SZ,20250828-20250901,死叉
001333.SZ,20250828-20250901,死叉
001336.SZ,20250828-20250901,死叉
001337.SZ,20250828-20250901,死叉
001358.SZ,20250828-20250901,死叉
001367.SZ,20250828-20250901,死叉
001376.SZ,20250828-20250901,死叉
001400.SZ,20250828-20250901,死叉
001696.SZ,20250828-20250901,死叉
001872.SZ,20250828-20250901,死叉
001914.SZ,20250828-20250901,死叉
001965.SZ,20250828-20250901,死叉
001896.SZ,20250828-20250901,死叉
001979.SZ,20250828-20250901,死叉
002001.SZ,20250828-20250901,死叉
002006.SZ,20250828-20250901,死叉
002007.SZ,20250828-20250901,死叉
002015.SZ,20250828-20250901,死叉
002016.SZ,20250828-20250901,死叉
002014.SZ,20250828-20250901,死叉
002019.SZ,20250828-20250901,死叉
002020.SZ,20250828-20250901,死叉
002022.SZ,20250828-20250901,死叉
002028.SZ,20250828-20250901,死叉
002030.SZ,20250828-20250901,死叉
002034.SZ,20250828-20250901,死叉
002033.SZ,20250828-20250901,死叉
002032.SZ,20250828-20250901,死叉
002035.SZ,20250828-20250901,死叉
002038.SZ,20250828-20250901,死叉
002041.SZ,20250828-20250901,死叉
002044.SZ,20250828-20250901,死叉
002043.SZ,20250828-20250901,死叉
002046.SZ,20250828-20250901,死叉
002048.SZ,20250828-20250901,死叉
002053.SZ,20250828-20250901,死叉
002057.SZ,20250828-20250901,死叉
