ts_code,period,reason
000001.SZ,20251027-20251029,死叉
000007.SZ,20251027-20251029,死叉
000002.SZ,20251027-20251029,死叉
000010.SZ,20251027-20251029,死叉
000012.SZ,20251027-20251029,死叉
000028.SZ,20251027-20251029,死叉
000026.SZ,20251027-20251029,死叉
000030.SZ,20251027-20251029,死叉
000032.SZ,20251027-20251029,死叉
000034.SZ,20251027-20251029,死叉
000037.SZ,20251027-20251029,死叉
000042.SZ,20251027-20251029,死叉
000059.SZ,20251027-20251029,死叉
000056.SZ,20251027-20251029,死叉
000062.SZ,20251027-20251029,死叉
000078.SZ,20251027-20251029,死叉
000088.SZ,20251027-20251029,死叉
000099.SZ,20251027-20251029,死叉
000096.SZ,20251027-20251029,死叉
000100.SZ,20251027-20251029,死叉
000151.SZ,20251027-20251029,死叉
000153.SZ,20251027-20251029,死叉
000156.SZ,20251027-20251029,死叉
000338.SZ,20251027-20251029,死叉
000403.SZ,20251027-20251029,死叉
000404.SZ,20251027-20251029,死叉
000409.SZ,20251027-20251029,死叉
000420.SZ,20251027-20251029,死叉
000423.SZ,20251027-20251029,死叉
000428.SZ,20251027-20251029,死叉
000429.SZ,20251027-20251029,死叉
000488.SZ,20251027-20251029,死叉
000501.SZ,20251027-20251029,死叉
000503.SZ,20251027-20251029,死叉
000504.SZ,20251027-20251029,死叉
000505.SZ,20251027-20251029,死叉
000507.SZ,20251027-20251029,死叉
000513.SZ,20251027-20251029,死叉
000516.SZ,20251027-20251029,死叉
000519.SZ,20251027-20251029,死叉
000520.SZ,20251027-20251029,死叉
000521.SZ,20251027-20251029,死叉
000523.SZ,20251027-20251029,死叉
000525.SZ,20251027-20251029,死叉
000526.SZ,20251027-20251029,死叉
000529.SZ,20251027-20251029,死叉
000532.SZ,20251027-20251029,死叉
000533.SZ,20251027-20251029,死叉
000536.SZ,20251027-20251029,死叉
000541.SZ,20251027-20251029,死叉
000545.SZ,20251027-20251029,死叉
000547.SZ,20251027-20251029,死叉
000553.SZ,20251027-20251029,死叉
000557.SZ,20251027-20251029,死叉
000558.SZ,20251027-20251029,死叉
000561.SZ,20251027-20251029,死叉
000560.SZ,20251027-20251029,死叉
000565.SZ,20251027-20251029,死叉
000566.SZ,20251027-20251029,死叉
000570.SZ,20251027-20251029,死叉
000576.SZ,20251027-20251029,死叉
000598.SZ,20251027-20251029,死叉
000601.SZ,20251027-20251029,死叉
000605.SZ,20251027-20251029,死叉
000607.SZ,20251027-20251029,死叉
000610.SZ,20251027-20251029,死叉
000619.SZ,20251027-20251029,死叉
000625.SZ,20251027-20251029,死叉
000635.SZ,20251027-20251029,死叉
000639.SZ,20251027-20251029,死叉
000651.SZ,20251027-20251029,死叉
000652.SZ,20251027-20251029,死叉
000656.SZ,20251027-20251029,死叉
000659.SZ,20251027-20251029,死叉
000676.SZ,20251027-20251029,死叉
000677.SZ,20251027-20251029,死叉
000678.SZ,20251027-20251029,死叉
000695.SZ,20251027-20251029,死叉
000698.SZ,20251027-20251029,死叉
000701.SZ,20251027-20251029,死叉
000702.SZ,20251027-20251029,死叉
000707.SZ,20251027-20251029,死叉
000710.SZ,20251027-20251029,死叉
000711.SZ,20251027-20251029,死叉
000712.SZ,20251027-20251029,死叉
000713.SZ,20251027-20251029,死叉
000715.SZ,20251027-20251029,死叉
000716.SZ,20251027-20251029,死叉
000719.SZ,20251027-20251029,死叉
000720.SZ,20251027-20251029,死叉
000721.SZ,20251027-20251029,死叉
000722.SZ,20251027-20251029,死叉
000729.SZ,20251027-20251029,死叉
000731.SZ,20251027-20251029,死叉
000738.SZ,20251027-20251029,死叉
000756.SZ,20251027-20251029,死叉
000759.SZ,20251027-20251029,死叉
000761.SZ,20251027-20251029,死叉
000767.SZ,20251027-20251029,死叉
000768.SZ,20251027-20251029,死叉
000779.SZ,20251027-20251029,死叉
000785.SZ,20251027-20251029,死叉
000786.SZ,20251027-20251029,死叉
000788.SZ,20251027-20251029,死叉
000790.SZ,20251027-20251029,死叉
000795.SZ,20251027-20251029,死叉
000800.SZ,20251027-20251029,死叉
000801.SZ,20251027-20251029,死叉
000802.SZ,20251027-20251029,死叉
000803.SZ,20251027-20251029,死叉
000812.SZ,20251027-20251029,死叉
000815.SZ,20251027-20251029,死叉
000818.SZ,20251027-20251029,死叉
000820.SZ,20251027-20251029,死叉
000822.SZ,20251027-20251029,死叉
000829.SZ,20251027-20251029,死叉
000848.SZ,20251027-20251029,死叉
000839.SZ,20251027-20251029,死叉
000856.SZ,20251027-20251029,死叉
000859.SZ,20251027-20251029,死叉
000858.SZ,20251027-20251029,死叉
000860.SZ,20251027-20251029,死叉
000868.SZ,20251027-20251029,死叉
000869.SZ,20251027-20251029,死叉
000876.SZ,20251027-20251029,死叉
000880.SZ,20251027-20251029,死叉
000881.SZ,20251027-20251029,死叉
000882.SZ,20251027-20251029,死叉
000888.SZ,20251027-20251029,死叉
000897.SZ,20251027-20251029,死叉
000903.SZ,20251027-20251029,死叉
000906.SZ,20251027-20251029,死叉
000909.SZ,20251027-20251029,死叉
000912.SZ,20251027-20251029,死叉
000925.SZ,20251027-20251029,死叉
000926.SZ,20251027-20251029,死叉
000931.SZ,20251027-20251029,死叉
000936.SZ,20251027-20251029,死叉
000948.SZ,20251027-20251029,死叉
000951.SZ,20251027-20251029,死叉
000958.SZ,20251027-20251029,死叉
000963.SZ,20251027-20251029,死叉
000966.SZ,20251027-20251029,死叉
000972.SZ,20251027-20251029,死叉
000978.SZ,20251027-20251029,死叉
000985.SZ,20251027-20251029,死叉
000989.SZ,20251027-20251029,死叉
000990.SZ,20251027-20251029,死叉
000993.SZ,20251027-20251029,死叉
000995.SZ,20251027-20251029,死叉
000997.SZ,20251027-20251029,死叉
000998.SZ,20251027-20251029,死叉
000999.SZ,20251027-20251029,死叉
001201.SZ,20251027-20251029,死叉
001205.SZ,20251027-20251029,死叉
001207.SZ,20251027-20251029,死叉
001227.SZ,20251027-20251029,死叉
001230.SZ,20251027-20251029,死叉
001236.SZ,20251027-20251029,死叉
001255.SZ,20251027-20251029,死叉
001256.SZ,20251027-20251029,死叉
001266.SZ,20251027-20251029,死叉
001268.SZ,20251027-20251029,死叉
001269.SZ,20251027-20251029,死叉
001277.SZ,20251027-20251029,死叉
001279.SZ,20251027-20251029,死叉
001308.SZ,20251027-20251029,死叉
001313.SZ,20251027-20251029,死叉
001316.SZ,20251027-20251029,死叉
001318.SZ,20251027-20251029,死叉
001319.SZ,20251027-20251029,死叉
